,i1,i2,i3,k1,k2,k3,weight
0,1,1,1,4.262500000000000316e-02,4.262500000000000316e-02,4.262500000000000316e-02,3.283304445695140643e-04
1,2,2,2,8.425000000000000544e-02,8.425000000000000544e-02,8.425000000000000544e-02,1.786083721563976262e-04
2,3,3,1,1.258750000000000147e-01,1.258750000000000147e-01,4.262500000000000316e-02,9.930798467987977593e-04
3,4,4,1,1.675000000000000100e-01,1.675000000000000100e-01,4.262500000000000316e-02,1.849578552130769432e-03
4,4,4,2,1.675000000000000100e-01,1.675000000000000100e-01,8.425000000000000544e-02,4.833266737384518154e-04
5,4,4,3,1.675000000000000100e-01,1.675000000000000100e-01,1.258750000000000147e-01,3.716700089130087832e-04
6,5,3,3,2.091250000000000053e-01,1.258750000000000147e-01,1.258750000000000147e-01,7.331063657334069630e-04
7,5,4,3,2.091250000000000053e-01,1.675000000000000100e-01,1.258750000000000147e-01,1.598780758337905224e-03
8,7,4,4,2.923749999999999960e-01,1.675000000000000100e-01,1.675000000000000100e-01,6.452117546428488663e-03
9,7,7,7,2.923749999999999960e-01,2.923749999999999960e-01,2.923749999999999960e-01,7.793499999392780077e-03
10,8,4,4,3.340000000000000191e-01,1.675000000000000100e-01,1.675000000000000100e-01,6.797840548994762500e-04
11,8,8,1,3.340000000000000191e-01,3.340000000000000191e-01,4.262500000000000316e-02,1.356141344421288092e-03
12,8,8,2,3.340000000000000191e-01,3.340000000000000191e-01,8.425000000000000544e-02,4.014452210192595918e-03
13,8,8,3,3.340000000000000191e-01,3.340000000000000191e-01,1.258750000000000147e-01,6.078524402361201728e-03
14,9,9,0,3.756250000000000422e-01,3.756250000000000422e-01,1.000000000000000021e-03,6.543364501105878445e-04
15,9,9,1,3.756250000000000422e-01,3.756250000000000422e-01,4.262500000000000316e-02,3.729237576126650475e-05
16,11,8,4,4.588750000000000329e-01,3.340000000000000191e-01,1.675000000000000100e-01,4.277001725711600082e-03
17,12,8,4,5.005000000000000560e-01,3.340000000000000191e-01,1.675000000000000100e-01,2.002177463155386822e-03
18,12,8,7,5.005000000000000560e-01,3.340000000000000191e-01,2.923749999999999960e-01,1.159269391913194877e-02
19,12,8,8,5.005000000000000560e-01,3.340000000000000191e-01,3.340000000000000191e-01,5.465149808427637208e-03
20,12,9,4,5.005000000000000560e-01,3.756250000000000422e-01,1.675000000000000100e-01,1.141078570145364832e-02
21,12,12,7,5.005000000000000560e-01,5.005000000000000560e-01,2.923749999999999960e-01,2.310236806910043184e-02
22,12,12,12,5.005000000000000560e-01,5.005000000000000560e-01,5.005000000000000560e-01,7.123468443644411993e-03
23,13,13,1,5.421250000000000790e-01,5.421250000000000790e-01,4.262500000000000316e-02,9.732048266984203062e-04
24,13,13,2,5.421250000000000790e-01,5.421250000000000790e-01,8.425000000000000544e-02,7.214035964592781453e-04
25,13,13,3,5.421250000000000790e-01,5.421250000000000790e-01,1.258750000000000147e-01,9.456720175835335931e-03
26,14,14,1,5.837499999999999911e-01,5.837499999999999911e-01,4.262500000000000316e-02,1.882940460162784444e-03
27,16,9,8,6.670000000000000373e-01,3.756250000000000422e-01,3.340000000000000191e-01,7.446409951599874608e-03
28,16,12,12,6.670000000000000373e-01,5.005000000000000560e-01,5.005000000000000560e-01,1.174505083576507167e-02
29,16,13,3,6.670000000000000373e-01,5.421250000000000790e-01,1.258750000000000147e-01,5.600354798248212418e-03
30,16,13,4,6.670000000000000373e-01,5.421250000000000790e-01,1.675000000000000100e-01,1.758840857365835241e-03
31,16,13,7,6.670000000000000373e-01,5.421250000000000790e-01,2.923749999999999960e-01,1.885111003172888842e-04
32,16,16,11,6.670000000000000373e-01,6.670000000000000373e-01,4.588750000000000329e-01,5.704180747784289018e-03
33,16,16,12,6.670000000000000373e-01,6.670000000000000373e-01,5.005000000000000560e-01,7.935977955569460673e-03
34,17,9,9,7.086250000000000604e-01,3.756250000000000422e-01,3.756250000000000422e-01,3.180756096616744414e-03
35,17,12,12,7.086250000000000604e-01,5.005000000000000560e-01,5.005000000000000560e-01,1.109914068141910383e-02
36,17,13,4,7.086250000000000604e-01,5.421250000000000790e-01,1.675000000000000100e-01,1.096722623756858726e-03
37,17,13,7,7.086250000000000604e-01,5.421250000000000790e-01,2.923749999999999960e-01,2.752223633794155869e-02
38,17,13,8,7.086250000000000604e-01,5.421250000000000790e-01,3.340000000000000191e-01,7.595630062785515418e-03
39,17,14,3,7.086250000000000604e-01,5.837499999999999911e-01,1.258750000000000147e-01,2.900560709487646203e-04
40,17,16,16,7.086250000000000604e-01,6.670000000000000373e-01,6.670000000000000373e-01,1.813966630618852249e-03
41,17,17,0,7.086250000000000604e-01,7.086250000000000604e-01,1.000000000000000021e-03,7.612848368517529990e-05
42,17,17,2,7.086250000000000604e-01,7.086250000000000604e-01,8.425000000000000544e-02,4.527132960870185511e-04
43,17,17,3,7.086250000000000604e-01,7.086250000000000604e-01,1.258750000000000147e-01,8.293887317153848110e-03
44,17,17,7,7.086250000000000604e-01,7.086250000000000604e-01,2.923749999999999960e-01,1.748154108198623699e-02
45,17,17,17,7.086250000000000604e-01,7.086250000000000604e-01,7.086250000000000604e-01,6.958604103677683804e-03
46,18,18,0,7.502500000000000835e-01,7.502500000000000835e-01,1.000000000000000021e-03,7.553021358556011962e-04
47,20,13,8,8.335000000000000187e-01,5.421250000000000790e-01,3.340000000000000191e-01,1.064216399203797396e-02
48,20,13,12,8.335000000000000187e-01,5.421250000000000790e-01,5.005000000000000560e-01,4.410461758330147877e-03
49,20,16,16,8.335000000000000187e-01,6.670000000000000373e-01,6.670000000000000373e-01,4.196951592091694230e-03
50,20,17,4,8.335000000000000187e-01,7.086250000000000604e-01,1.675000000000000100e-01,6.463784133488552006e-03
51,20,17,12,8.335000000000000187e-01,7.086250000000000604e-01,5.005000000000000560e-01,3.349202314099088834e-02
52,20,18,3,8.335000000000000187e-01,7.502500000000000835e-01,1.258750000000000147e-01,7.066772983618537993e-03
53,20,20,0,8.335000000000000187e-01,8.335000000000000187e-01,1.000000000000000021e-03,1.212558485138563491e-04
54,20,20,8,8.335000000000000187e-01,8.335000000000000187e-01,3.340000000000000191e-01,5.165279939417755876e-04
55,21,13,8,8.751250000000000417e-01,5.421250000000000790e-01,3.340000000000000191e-01,3.533287607422660320e-03
56,21,13,9,8.751250000000000417e-01,5.421250000000000790e-01,3.756250000000000422e-01,9.257979157961347943e-04
57,21,13,12,8.751250000000000417e-01,5.421250000000000790e-01,5.005000000000000560e-01,1.123781491040429063e-02
58,21,17,7,8.751250000000000417e-01,7.086250000000000604e-01,2.923749999999999960e-01,8.022162966072800966e-03
59,21,17,8,8.751250000000000417e-01,7.086250000000000604e-01,3.340000000000000191e-01,9.964024827412959473e-03
60,21,17,12,8.751250000000000417e-01,7.086250000000000604e-01,5.005000000000000560e-01,3.655807749243228291e-03
61,21,17,17,8.751250000000000417e-01,7.086250000000000604e-01,7.086250000000000604e-01,6.027446134451383726e-03
62,21,18,3,8.751250000000000417e-01,7.502500000000000835e-01,1.258750000000000147e-01,4.014507811712037595e-04
63,21,18,4,8.751250000000000417e-01,7.502500000000000835e-01,1.675000000000000100e-01,6.531032943410309708e-04
64,21,20,7,8.751250000000000417e-01,8.335000000000000187e-01,2.923749999999999960e-01,1.203144056779473572e-02
65,21,20,8,8.751250000000000417e-01,8.335000000000000187e-01,3.340000000000000191e-01,8.904734294002343608e-04
66,21,20,12,8.751250000000000417e-01,8.335000000000000187e-01,5.005000000000000560e-01,4.112331112883711379e-03
67,21,20,16,8.751250000000000417e-01,8.335000000000000187e-01,6.670000000000000373e-01,5.112131482661266650e-03
68,21,20,17,8.751250000000000417e-01,8.335000000000000187e-01,7.086250000000000604e-01,1.719272808433343043e-03
69,21,20,20,8.751250000000000417e-01,8.335000000000000187e-01,8.335000000000000187e-01,3.206265971502552260e-03
70,21,21,0,8.751250000000000417e-01,8.751250000000000417e-01,1.000000000000000021e-03,2.954660951983637657e-04
71,21,21,2,8.751250000000000417e-01,8.751250000000000417e-01,8.425000000000000544e-02,2.518914202883265879e-03
72,21,21,3,8.751250000000000417e-01,8.751250000000000417e-01,1.258750000000000147e-01,2.469451966469827023e-03
73,21,21,12,8.751250000000000417e-01,8.751250000000000417e-01,5.005000000000000560e-01,2.567094748317524065e-03
74,21,21,16,8.751250000000000417e-01,8.751250000000000417e-01,6.670000000000000373e-01,3.462009248226599698e-03
75,21,21,17,8.751250000000000417e-01,8.751250000000000417e-01,7.086250000000000604e-01,1.928847436658585185e-03
76,23,13,12,9.583750000000000879e-01,5.421250000000000790e-01,5.005000000000000560e-01,4.193565146105031512e-03
77,23,13,13,9.583750000000000879e-01,5.421250000000000790e-01,5.421250000000000790e-01,3.135781817434802818e-03
78,23,14,9,9.583750000000000879e-01,5.837499999999999911e-01,3.756250000000000422e-01,1.456440599035274111e-03
79,23,17,8,9.583750000000000879e-01,7.086250000000000604e-01,3.340000000000000191e-01,1.127574789373777218e-02
80,23,17,12,9.583750000000000879e-01,7.086250000000000604e-01,5.005000000000000560e-01,2.867088021197202255e-03
81,23,17,13,9.583750000000000879e-01,7.086250000000000604e-01,5.421250000000000790e-01,8.535397697004025799e-03
82,23,17,17,9.583750000000000879e-01,7.086250000000000604e-01,7.086250000000000604e-01,7.547445152309688148e-03
83,23,18,5,9.583750000000000879e-01,7.502500000000000835e-01,2.091250000000000053e-01,1.089791581139680542e-03
84,23,20,4,9.583750000000000879e-01,8.335000000000000187e-01,1.675000000000000100e-01,2.205179929746944618e-03
85,23,20,7,9.583750000000000879e-01,8.335000000000000187e-01,2.923749999999999960e-01,1.563032051115875861e-03
86,23,20,12,9.583750000000000879e-01,8.335000000000000187e-01,5.005000000000000560e-01,8.064048216333686084e-03
87,23,20,17,9.583750000000000879e-01,8.335000000000000187e-01,7.086250000000000604e-01,2.497883555007884924e-03
88,23,20,20,9.583750000000000879e-01,8.335000000000000187e-01,8.335000000000000187e-01,3.432573004314594649e-03
89,23,21,3,9.583750000000000879e-01,8.751250000000000417e-01,1.258750000000000147e-01,3.861514900125100243e-03
90,23,21,7,9.583750000000000879e-01,8.751250000000000417e-01,2.923749999999999960e-01,7.534777839623332113e-03
91,23,21,12,9.583750000000000879e-01,8.751250000000000417e-01,5.005000000000000560e-01,6.164429181339103371e-03
92,23,21,16,9.583750000000000879e-01,8.751250000000000417e-01,6.670000000000000373e-01,2.627862480708565741e-03
93,23,21,17,9.583750000000000879e-01,8.751250000000000417e-01,7.086250000000000604e-01,6.960877352244317562e-05
94,23,21,21,9.583750000000000879e-01,8.751250000000000417e-01,8.751250000000000417e-01,8.963351066543289803e-04
95,23,23,0,9.583750000000000879e-01,9.583750000000000879e-01,1.000000000000000021e-03,2.549404818600500659e-04
96,23,23,2,9.583750000000000879e-01,9.583750000000000879e-01,8.425000000000000544e-02,1.060727081913669448e-03
