,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,7.543017762936953419e-06
1,1,0,0,4.857142857142857095e-02,1.000000000000000021e-03,1.000000000000000021e-03,7.597343714602039733e-06
2,1,1,0,4.857142857142857095e-02,4.857142857142857095e-02,1.000000000000000021e-03,7.228578562590961328e-05
3,1,1,1,4.857142857142857095e-02,4.857142857142857095e-02,4.857142857142857095e-02,1.017472726915976690e-04
4,2,1,0,9.614285714285714102e-02,4.857142857142857095e-02,1.000000000000000021e-03,1.515754608003498374e-05
5,2,1,1,9.614285714285714102e-02,4.857142857142857095e-02,4.857142857142857095e-02,1.663842011664489482e-04
6,2,2,0,9.614285714285714102e-02,9.614285714285714102e-02,1.000000000000000021e-03,7.232098916555683573e-05
7,2,2,1,9.614285714285714102e-02,9.614285714285714102e-02,4.857142857142857095e-02,3.112248049735539331e-04
8,2,2,2,9.614285714285714102e-02,9.614285714285714102e-02,9.614285714285714102e-02,1.076560845481049544e-04
9,3,1,1,1.437142857142857111e-01,4.857142857142857095e-02,4.857142857142857095e-02,7.538402008311950571e-06
10,3,2,0,1.437142857142857111e-01,9.614285714285714102e-02,1.000000000000000021e-03,1.525475952438191717e-05
11,3,2,1,1.437142857142857111e-01,9.614285714285714102e-02,4.857142857142857095e-02,3.326947655710669051e-04
12,3,2,2,1.437142857142857111e-01,9.614285714285714102e-02,9.614285714285714102e-02,3.171099324914605018e-04
13,3,3,0,1.437142857142857111e-01,1.437142857142857111e-01,1.000000000000000021e-03,7.252607400662094376e-05
14,3,3,1,1.437142857142857111e-01,1.437142857142857111e-01,4.857142857142857095e-02,3.111634410053612868e-04
15,3,3,2,1.437142857142857111e-01,1.437142857142857111e-01,9.614285714285714102e-02,3.229682536443146193e-04
16,3,3,3,1.437142857142857111e-01,1.437142857142857111e-01,1.437142857142857111e-01,1.076560845481048460e-04
17,4,2,1,1.912857142857142811e-01,9.614285714285714102e-02,4.857142857142857095e-02,1.526412560373761738e-05
18,4,2,2,1.912857142857142811e-01,9.614285714285714102e-02,9.614285714285714102e-02,1.662324060872362561e-04
19,4,3,0,1.912857142857142811e-01,1.437142857142857111e-01,1.000000000000000021e-03,1.520017788951603991e-05
20,4,3,1,1.912857142857142811e-01,1.437142857142857111e-01,4.857142857142857095e-02,3.333697692211837378e-04
21,4,3,2,1.912857142857142811e-01,1.437142857142857111e-01,9.614285714285714102e-02,6.340771130148106522e-04
22,4,3,3,1.912857142857142811e-01,1.437142857142857111e-01,1.437142857142857111e-01,3.229682536443148361e-04
23,4,4,0,1.912857142857142811e-01,1.912857142857142811e-01,1.000000000000000021e-03,7.233794499887325694e-05
24,4,4,1,1.912857142857142811e-01,1.912857142857142811e-01,4.857142857142857095e-02,3.111159646720761530e-04
25,4,4,2,1.912857142857142811e-01,1.912857142857142811e-01,9.614285714285714102e-02,3.229682536443152156e-04
26,4,4,3,1.912857142857142811e-01,1.912857142857142811e-01,1.437142857142857111e-01,3.229682536443151614e-04
27,4,4,4,1.912857142857142811e-01,1.912857142857142811e-01,1.912857142857142811e-01,1.076560845481051442e-04
28,5,2,2,2.388571428571428512e-01,9.614285714285714102e-02,9.614285714285714102e-02,7.648534182804659517e-06
29,5,3,1,2.388571428571428512e-01,1.437142857142857111e-01,4.857142857142857095e-02,1.517046481018074401e-05
30,5,3,2,2.388571428571428512e-01,1.437142857142857111e-01,9.614285714285714102e-02,3.328782115391366783e-04
31,5,3,3,2.388571428571428512e-01,1.437142857142857111e-01,1.437142857142857111e-01,3.170217621582153500e-04
32,5,4,0,2.388571428571428512e-01,1.912857142857142811e-01,1.000000000000000021e-03,1.531095600051603204e-05
33,5,4,1,2.388571428571428512e-01,1.912857142857142811e-01,4.857142857142857095e-02,3.330558440786413619e-04
34,5,4,2,2.388571428571428512e-01,1.912857142857142811e-01,9.614285714285714102e-02,6.342075921892827671e-04
35,5,4,3,2.388571428571428512e-01,1.912857142857142811e-01,1.437142857142857111e-01,6.459365072886295639e-04
