,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,9.991327793227999115e-07
1,1,1,1,4.443478260869565544e-02,4.443478260869565544e-02,4.443478260869565544e-02,2.752579149889620362e-04
2,2,2,2,8.786956521739130999e-02,8.786956521739130999e-02,8.786956521739130999e-02,1.168146360403545013e-03
3,3,3,0,1.313043478260869645e-01,1.313043478260869645e-01,1.000000000000000021e-03,2.243951754587569347e-04
4,4,4,0,1.747391304347826191e-01,1.747391304347826191e-01,1.000000000000000021e-03,5.757242655797646744e-04
5,4,4,2,1.747391304347826191e-01,1.747391304347826191e-01,8.786956521739130999e-02,3.609943203021194697e-04
6,5,3,3,2.181739130434782736e-01,1.313043478260869645e-01,1.313043478260869645e-01,2.630635899978910931e-03
7,6,3,3,2.616086956521739282e-01,1.313043478260869645e-01,1.313043478260869645e-01,4.011317322308415988e-04
8,6,4,3,2.616086956521739282e-01,1.747391304347826191e-01,1.313043478260869645e-01,5.874812289961760421e-03
9,7,7,2,3.050434782608695827e-01,3.050434782608695827e-01,8.786956521739130999e-02,6.586736586947622603e-03
10,7,7,3,3.050434782608695827e-01,3.050434782608695827e-01,1.313043478260869645e-01,1.822310444426685936e-03
11,7,7,6,3.050434782608695827e-01,3.050434782608695827e-01,2.616086956521739282e-01,5.608019493306662558e-03
12,7,7,7,3.050434782608695827e-01,3.050434782608695827e-01,3.050434782608695827e-01,2.787686530689648199e-03
13,8,8,0,3.484782608695652373e-01,3.484782608695652373e-01,1.000000000000000021e-03,6.144272005681341133e-04
14,10,8,3,4.353478260869565464e-01,3.484782608695652373e-01,1.313043478260869645e-01,6.923817158936153814e-03
15,11,7,6,4.787826086956522009e-01,3.050434782608695827e-01,2.616086956521739282e-01,8.555901414155546100e-03
16,11,7,7,4.787826086956522009e-01,3.050434782608695827e-01,3.050434782608695827e-01,9.898435081594192039e-03
17,11,8,3,4.787826086956522009e-01,3.484782608695652373e-01,1.313043478260869645e-01,4.689215158185628708e-03
18,11,11,6,4.787826086956522009e-01,4.787826086956522009e-01,2.616086956521739282e-01,5.939225291243526925e-03
19,11,11,11,4.787826086956522009e-01,4.787826086956522009e-01,4.787826086956522009e-01,9.864059717587596657e-03
20,12,7,7,5.222173913043478555e-01,3.050434782608695827e-01,3.050434782608695827e-01,3.220001962274638557e-03
21,12,11,3,5.222173913043478555e-01,4.787826086956522009e-01,1.313043478260869645e-01,5.730203172842550721e-03
22,12,12,0,5.222173913043478555e-01,5.222173913043478555e-01,1.000000000000000021e-03,3.168370465346693359e-04
23,12,12,2,5.222173913043478555e-01,5.222173913043478555e-01,8.786956521739130999e-02,5.274258414540520384e-03
24,12,12,3,5.222173913043478555e-01,5.222173913043478555e-01,1.313043478260869645e-01,1.718311174814518474e-03
