,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,7.938088454527422798e-05
1,1,1,0,1.120000000000000023e-01,1.120000000000000023e-01,1.000000000000000021e-03,1.189288739519219883e-03
2,2,1,1,2.230000000000000038e-01,1.120000000000000023e-01,1.120000000000000023e-01,1.956607723416334179e-03
3,2,2,1,2.230000000000000038e-01,2.230000000000000038e-01,1.120000000000000023e-01,1.324209016483804749e-02
4,2,2,2,2.230000000000000038e-01,2.230000000000000038e-01,2.230000000000000038e-01,1.683722289953916255e-04
5,4,2,2,4.450000000000000067e-01,2.230000000000000038e-01,2.230000000000000038e-01,1.443711677163757008e-03
6,4,3,1,4.450000000000000067e-01,3.340000000000000191e-01,1.120000000000000023e-01,6.671807158857701384e-03
7,4,3,2,4.450000000000000067e-01,3.340000000000000191e-01,2.230000000000000038e-01,2.498874710613799982e-02
8,4,4,0,4.450000000000000067e-01,4.450000000000000067e-01,1.000000000000000021e-03,2.599535809995692955e-03
9,4,4,1,4.450000000000000067e-01,4.450000000000000067e-01,1.120000000000000023e-01,6.155932093254300359e-03
10,4,4,2,4.450000000000000067e-01,4.450000000000000067e-01,2.230000000000000038e-01,2.086812822434527467e-02
11,4,4,4,4.450000000000000067e-01,4.450000000000000067e-01,4.450000000000000067e-01,9.410019819937552252e-03
12,6,4,2,6.670000000000000373e-01,4.450000000000000067e-01,2.230000000000000038e-01,1.753575051860067902e-02
13,6,4,3,6.670000000000000373e-01,4.450000000000000067e-01,3.340000000000000191e-01,3.158291003135830707e-03
14,6,4,4,6.670000000000000373e-01,4.450000000000000067e-01,4.450000000000000067e-01,4.531748037078235647e-02
15,6,6,0,6.670000000000000373e-01,6.670000000000000373e-01,1.000000000000000021e-03,2.153436087138157909e-04
16,6,6,1,6.670000000000000373e-01,6.670000000000000373e-01,1.120000000000000023e-01,1.217934894835360875e-02
17,6,6,2,6.670000000000000373e-01,6.670000000000000373e-01,2.230000000000000038e-01,2.809394166966262124e-02
18,6,6,4,6.670000000000000373e-01,6.670000000000000373e-01,4.450000000000000067e-01,1.311530750467529254e-02
19,6,6,6,6.670000000000000373e-01,6.670000000000000373e-01,6.670000000000000373e-01,1.052102301560960303e-02
20,7,4,4,7.780000000000000249e-01,4.450000000000000067e-01,4.450000000000000067e-01,5.803851500577785448e-03
21,7,6,1,7.780000000000000249e-01,6.670000000000000373e-01,1.120000000000000023e-01,1.018550101770671068e-02
22,7,6,4,7.780000000000000249e-01,6.670000000000000373e-01,4.450000000000000067e-01,3.012721189299542857e-02
23,8,4,4,8.890000000000000124e-01,4.450000000000000067e-01,4.450000000000000067e-01,7.048460375479285132e-03
24,8,6,3,8.890000000000000124e-01,6.670000000000000373e-01,3.340000000000000191e-01,5.417926973732129642e-02
25,8,6,4,8.890000000000000124e-01,6.670000000000000373e-01,4.450000000000000067e-01,5.359683779041602564e-03
26,8,6,6,8.890000000000000124e-01,6.670000000000000373e-01,6.670000000000000373e-01,4.621566045880608903e-02
27,8,7,1,8.890000000000000124e-01,7.780000000000000249e-01,1.120000000000000023e-01,2.750552719022703648e-03
28,8,8,0,8.890000000000000124e-01,8.890000000000000124e-01,1.000000000000000021e-03,1.183835985130395931e-03
29,8,8,1,8.890000000000000124e-01,8.890000000000000124e-01,1.120000000000000023e-01,6.498410858772856249e-03
30,8,8,2,8.890000000000000124e-01,8.890000000000000124e-01,2.230000000000000038e-01,1.637823414862845869e-02
31,8,8,4,8.890000000000000124e-01,8.890000000000000124e-01,4.450000000000000067e-01,2.804059622231352619e-02
32,8,8,6,8.890000000000000124e-01,8.890000000000000124e-01,6.670000000000000373e-01,1.076669261712316118e-02
33,8,8,8,8.890000000000000124e-01,8.890000000000000124e-01,8.890000000000000124e-01,9.949263798666788811e-03
34,9,6,4,1.000000000000000000e+00,6.670000000000000373e-01,4.450000000000000067e-01,1.251109835028458780e-02
35,9,6,6,1.000000000000000000e+00,6.670000000000000373e-01,6.670000000000000373e-01,3.538454639597053610e-03
36,9,7,3,1.000000000000000000e+00,7.780000000000000249e-01,3.340000000000000191e-01,1.589176752803042429e-03
37,9,8,1,1.000000000000000000e+00,8.890000000000000124e-01,1.120000000000000023e-01,4.552472302577516110e-03
38,9,8,3,1.000000000000000000e+00,8.890000000000000124e-01,3.340000000000000191e-01,6.233137174963432336e-03
39,9,8,4,1.000000000000000000e+00,8.890000000000000124e-01,4.450000000000000067e-01,1.364149267884867331e-03
40,9,8,6,1.000000000000000000e+00,8.890000000000000124e-01,6.670000000000000373e-01,1.327333905829071112e-02
41,9,9,2,1.000000000000000000e+00,1.000000000000000000e+00,2.230000000000000038e-01,1.439779694313431373e-03
42,9,9,6,1.000000000000000000e+00,1.000000000000000000e+00,6.670000000000000373e-01,1.232673199795239483e-03
43,9,9,8,1.000000000000000000e+00,1.000000000000000000e+00,8.890000000000000124e-01,7.208380592353981747e-04
44,9,9,9,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.444570400091226318e-04
