,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,2.361687119100916476e-04
1,1,1,0,2.008000000000000063e-01,2.008000000000000063e-01,1.000000000000000021e-03,6.498843438228312820e-03
2,1,1,1,2.008000000000000063e-01,2.008000000000000063e-01,2.008000000000000063e-01,6.697706837188069189e-03
3,2,1,1,4.006000000000000116e-01,2.008000000000000063e-01,2.008000000000000063e-01,6.309129934760260641e-03
4,2,2,1,4.006000000000000116e-01,4.006000000000000116e-01,2.008000000000000063e-01,5.219986618492600261e-02
5,3,2,1,6.004000000000000448e-01,4.006000000000000116e-01,2.008000000000000063e-01,1.407754159916967812e-02
6,3,2,2,6.004000000000000448e-01,4.006000000000000116e-01,4.006000000000000116e-01,3.446775142512705642e-02
7,3,3,0,6.004000000000000448e-01,6.004000000000000448e-01,1.000000000000000021e-03,4.982918457007859750e-03
8,3,3,1,6.004000000000000448e-01,6.004000000000000448e-01,2.008000000000000063e-01,1.596471100345697725e-02
9,3,3,3,6.004000000000000448e-01,6.004000000000000448e-01,6.004000000000000448e-01,1.511444835443331858e-02
10,4,2,2,8.002000000000000224e-01,4.006000000000000116e-01,4.006000000000000116e-01,1.153720172466071725e-02
11,4,3,1,8.002000000000000224e-01,6.004000000000000448e-01,2.008000000000000063e-01,2.122749989518082914e-02
12,4,3,2,8.002000000000000224e-01,6.004000000000000448e-01,4.006000000000000116e-01,7.888633856321938809e-02
13,4,4,0,8.002000000000000224e-01,8.002000000000000224e-01,1.000000000000000021e-03,4.003687688950264591e-03
14,4,4,1,8.002000000000000224e-01,8.002000000000000224e-01,2.008000000000000063e-01,4.120045821026675770e-02
15,4,4,2,8.002000000000000224e-01,8.002000000000000224e-01,4.006000000000000116e-01,3.814730236094306115e-02
16,4,4,3,8.002000000000000224e-01,8.002000000000000224e-01,6.004000000000000448e-01,4.367534072432603665e-02
17,4,4,4,8.002000000000000224e-01,8.002000000000000224e-01,8.002000000000000224e-01,1.585863235114065226e-02
18,5,3,2,1.000000000000000000e+00,6.004000000000000448e-01,4.006000000000000116e-01,1.406765837669257451e-03
19,5,3,3,1.000000000000000000e+00,6.004000000000000448e-01,6.004000000000000448e-01,1.394155160874022310e-02
20,5,4,1,1.000000000000000000e+00,8.002000000000000224e-01,2.008000000000000063e-01,9.494019547813958501e-03
21,5,4,2,1.000000000000000000e+00,8.002000000000000224e-01,4.006000000000000116e-01,3.228581766718036095e-02
22,5,4,4,1.000000000000000000e+00,8.002000000000000224e-01,8.002000000000000224e-01,1.655578686623552717e-02
23,5,5,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,1.064770871374641752e-03
24,5,5,1,1.000000000000000000e+00,1.000000000000000000e+00,2.008000000000000063e-01,4.870714206317267904e-03
25,5,5,3,1.000000000000000000e+00,1.000000000000000000e+00,6.004000000000000448e-01,5.578879888845799176e-03
26,5,5,4,1.000000000000000000e+00,1.000000000000000000e+00,8.002000000000000224e-01,3.645830401123325605e-03
