,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,3.648535589999999176e-06
1,1,0,0,3.799999999999999906e-02,1.000000000000000021e-03,1.000000000000000021e-03,3.710078984999998898e-06
2,1,1,0,3.799999999999999906e-02,3.799999999999999906e-02,1.000000000000000021e-03,3.470887921049997774e-05
3,1,1,1,3.799999999999999906e-02,3.799999999999999906e-02,3.799999999999999906e-02,4.798490387799996714e-05
4,2,1,0,7.499999999999999722e-02,3.799999999999999906e-02,1.000000000000000021e-03,7.399035668999997795e-06
5,2,1,1,7.499999999999999722e-02,3.799999999999999906e-02,3.799999999999999906e-02,7.902536619599995215e-05
6,2,2,0,7.499999999999999722e-02,7.499999999999999722e-02,1.000000000000000021e-03,3.472491088500001077e-05
7,2,2,1,7.499999999999999722e-02,7.499999999999999722e-02,3.799999999999999906e-02,1.466050285530000081e-04
8,2,2,2,7.499999999999999722e-02,7.499999999999999722e-02,7.499999999999999722e-02,5.065300000000002477e-05
9,3,1,1,1.119999999999999885e-01,3.799999999999999906e-02,3.799999999999999906e-02,3.715853426999998314e-06
10,3,2,0,1.119999999999999885e-01,7.499999999999999722e-02,1.000000000000000021e-03,7.468025055000001958e-06
11,3,2,1,1.119999999999999885e-01,7.499999999999999722e-02,3.799999999999999906e-02,1.582595240580000429e-04
12,3,2,2,1.119999999999999885e-01,7.499999999999999722e-02,7.499999999999999722e-02,1.492697815770000836e-04
13,3,3,0,1.119999999999999885e-01,1.119999999999999885e-01,1.000000000000000021e-03,3.468031091850000506e-05
14,3,3,1,1.119999999999999885e-01,1.119999999999999885e-01,3.799999999999999906e-02,1.466340527220000029e-04
15,3,3,2,1.119999999999999885e-01,1.119999999999999885e-01,7.499999999999999722e-02,1.519590000000000675e-04
16,3,3,3,1.119999999999999885e-01,1.119999999999999885e-01,1.119999999999999885e-01,5.065300000000002477e-05
17,4,2,1,1.489999999999999936e-01,7.499999999999999722e-02,3.799999999999999906e-02,7.431706853999994934e-06
18,4,2,2,1.489999999999999936e-01,7.499999999999999722e-02,7.499999999999999722e-02,7.893616626299996782e-05
19,4,3,0,1.489999999999999936e-01,1.119999999999999885e-01,1.000000000000000021e-03,7.428667673999994885e-06
20,4,3,1,1.489999999999999936e-01,1.119999999999999885e-01,3.799999999999999906e-02,1.581291432359999008e-04
21,4,3,2,1.489999999999999936e-01,1.119999999999999885e-01,7.499999999999999722e-02,2.986036898519998928e-04
22,4,3,3,1.489999999999999936e-01,1.119999999999999885e-01,1.119999999999999885e-01,1.519589999999999591e-04
23,4,4,0,1.489999999999999936e-01,1.489999999999999936e-01,1.000000000000000021e-03,3.471906046349995401e-05
24,4,4,1,1.489999999999999936e-01,1.489999999999999936e-01,3.799999999999999906e-02,1.465851219239997795e-04
25,4,4,2,1.489999999999999936e-01,1.489999999999999936e-01,7.499999999999999722e-02,1.519589999999998236e-04
26,4,4,3,1.489999999999999936e-01,1.489999999999999936e-01,1.119999999999999885e-01,1.519589999999998236e-04
27,4,4,4,1.489999999999999936e-01,1.489999999999999936e-01,1.489999999999999936e-01,5.065299999999990280e-05
28,5,2,2,1.859999999999999987e-01,7.499999999999999722e-02,7.499999999999999722e-02,3.697314429000001572e-06
