,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,4.379660979516819633e-05
1,2,2,0,9.614285714285714102e-02,9.614285714285714102e-02,1.000000000000000021e-03,3.075204581850531950e-04
2,3,2,2,1.437142857142857111e-01,9.614285714285714102e-02,9.614285714285714102e-02,3.012422724598986992e-03
3,3,3,0,1.437142857142857111e-01,1.437142857142857111e-01,1.000000000000000021e-03,2.958868422731227542e-04
4,4,2,2,1.912857142857142811e-01,9.614285714285714102e-02,9.614285714285714102e-02,7.775858075429841051e-04
5,6,5,2,2.864285714285714213e-01,2.388571428571428512e-01,9.614285714285714102e-02,5.304167418272729209e-03
6,6,5,3,2.864285714285714213e-01,2.388571428571428512e-01,1.437142857142857111e-01,6.427545750881284888e-03
7,6,6,0,2.864285714285714213e-01,2.864285714285714213e-01,1.000000000000000021e-03,5.171087457584506086e-04
8,6,6,3,2.864285714285714213e-01,2.864285714285714213e-01,1.437142857142857111e-01,3.299924054520095122e-03
9,6,6,6,2.864285714285714213e-01,2.864285714285714213e-01,2.864285714285714213e-01,3.260177285134041765e-03
10,7,6,6,3.339999999999999636e-01,2.864285714285714213e-01,2.864285714285714213e-01,4.374385325559192943e-04
11,8,6,2,3.815714285714285614e-01,2.864285714285714213e-01,9.614285714285714102e-02,4.270560496481784138e-03
12,9,6,5,4.291428571428571592e-01,2.864285714285714213e-01,2.388571428571428512e-01,3.206413952502023840e-03
13,9,6,6,4.291428571428571592e-01,2.864285714285714213e-01,2.864285714285714213e-01,4.866499282539453464e-03
14,9,7,2,4.291428571428571592e-01,3.339999999999999636e-01,9.614285714285714102e-02,2.742109660866555443e-03
15,10,6,6,4.767142857142857015e-01,2.864285714285714213e-01,2.864285714285714213e-01,1.058138026086863533e-02
16,10,10,0,4.767142857142857015e-01,4.767142857142857015e-01,1.000000000000000021e-03,4.850041243356846316e-04
17,10,10,3,4.767142857142857015e-01,4.767142857142857015e-01,1.437142857142857111e-01,9.493261885193733651e-03
18,10,10,6,4.767142857142857015e-01,4.767142857142857015e-01,2.864285714285714213e-01,2.038237853587619025e-02
19,10,10,9,4.767142857142857015e-01,4.767142857142857015e-01,4.291428571428571592e-01,6.575067185773526531e-04
20,10,10,10,4.767142857142857015e-01,4.767142857142857015e-01,4.767142857142857015e-01,7.118304009627240622e-03
21,11,10,2,5.242857142857142438e-01,4.767142857142857015e-01,9.614285714285714102e-02,7.258531533435100269e-03
22,11,11,0,5.242857142857142438e-01,5.242857142857142438e-01,1.000000000000000021e-03,4.042118595009684136e-04
23,12,6,6,5.718571428571428417e-01,2.864285714285714213e-01,2.864285714285714213e-01,3.216256602511223875e-03
24,12,10,2,5.718571428571428417e-01,4.767142857142857015e-01,9.614285714285714102e-02,6.419001230068236297e-04
25,13,7,6,6.194285714285714395e-01,3.339999999999999636e-01,2.864285714285714213e-01,2.761589542345568578e-04
26,14,10,5,6.669999999999999263e-01,4.767142857142857015e-01,2.388571428571428512e-01,8.190462479607574925e-03
27,14,10,6,6.669999999999999263e-01,4.767142857142857015e-01,2.864285714285714213e-01,2.785655436934796059e-02
28,14,10,10,6.669999999999999263e-01,4.767142857142857015e-01,4.767142857142857015e-01,2.238697819837270550e-02
29,14,11,5,6.669999999999999263e-01,5.242857142857142438e-01,2.388571428571428512e-01,1.145317865360493412e-03
30,14,12,2,6.669999999999999263e-01,5.718571428571428417e-01,9.614285714285714102e-02,3.993021605345922938e-03
31,14,14,3,6.669999999999999263e-01,6.669999999999999263e-01,1.437142857142857111e-01,9.723268149260626617e-03
32,14,14,6,6.669999999999999263e-01,6.669999999999999263e-01,2.864285714285714213e-01,1.311366861631154193e-02
33,14,14,9,6.669999999999999263e-01,6.669999999999999263e-01,4.291428571428571592e-01,1.611058533478101559e-02
34,14,14,13,6.669999999999999263e-01,6.669999999999999263e-01,6.194285714285714395e-01,6.934985372431099263e-03
35,14,14,14,6.669999999999999263e-01,6.669999999999999263e-01,6.669999999999999263e-01,2.572364737156654889e-03
36,15,14,2,7.145714285714285241e-01,6.669999999999999263e-01,9.614285714285714102e-02,9.208193510647916247e-05
37,15,15,0,7.145714285714285241e-01,7.145714285714285241e-01,1.000000000000000021e-03,5.973025439055300659e-04
38,15,15,2,7.145714285714285241e-01,7.145714285714285241e-01,9.614285714285714102e-02,3.486704770641637936e-03
39,17,10,10,8.097142857142857197e-01,4.767142857142857015e-01,4.767142857142857015e-01,4.705410857824453112e-03
