,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,6.598916092138748372e-05
1,1,0,0,1.009000000000000036e-01,1.000000000000000021e-03,1.000000000000000021e-03,6.620673190084426160e-05
2,1,1,0,1.009000000000000036e-01,1.009000000000000036e-01,1.000000000000000021e-03,6.455479763180116837e-04
3,1,1,1,1.009000000000000036e-01,1.009000000000000036e-01,1.009000000000000036e-01,9.383762316498033863e-04
4,2,1,0,2.008000000000000063e-01,1.009000000000000036e-01,1.000000000000000021e-03,1.325651079578364254e-04
5,2,1,1,2.008000000000000063e-01,1.009000000000000036e-01,1.009000000000000036e-01,1.516653324915988397e-03
6,2,2,0,2.008000000000000063e-01,2.008000000000000063e-01,1.000000000000000021e-03,6.454148764176451331e-04
7,2,2,1,2.008000000000000063e-01,2.008000000000000063e-01,1.009000000000000036e-01,2.873781783178781107e-03
8,2,2,2,2.008000000000000063e-01,2.008000000000000063e-01,2.008000000000000063e-01,9.970029990000004328e-04
9,3,1,1,3.007000000000000228e-01,1.009000000000000036e-01,1.009000000000000036e-01,6.587398214992800695e-05
10,3,2,0,3.007000000000000228e-01,2.008000000000000063e-01,1.000000000000000021e-03,1.322343023627682405e-04
11,3,2,1,3.007000000000000228e-01,2.008000000000000063e-01,1.009000000000000036e-01,3.036331158129742559e-03
12,3,2,2,3.007000000000000228e-01,2.008000000000000063e-01,2.008000000000000063e-01,2.932308650828477272e-03
13,3,3,0,3.007000000000000228e-01,3.007000000000000228e-01,1.000000000000000021e-03,6.447759968958856032e-04
14,3,3,1,3.007000000000000228e-01,3.007000000000000228e-01,1.009000000000000036e-01,2.873571814347190053e-03
15,3,3,2,3.007000000000000228e-01,3.007000000000000228e-01,2.008000000000000063e-01,2.991008996999999781e-03
16,3,3,3,3.007000000000000228e-01,3.007000000000000228e-01,3.007000000000000228e-01,9.970029989999995654e-04
17,4,2,1,4.006000000000000116e-01,2.008000000000000063e-01,1.009000000000000036e-01,1.326321065593692250e-04
18,4,2,2,4.006000000000000116e-01,2.008000000000000063e-01,2.008000000000000063e-01,1.517938262381098979e-03
19,4,3,0,4.006000000000000116e-01,3.007000000000000228e-01,1.000000000000000021e-03,1.324400837817617737e-04
20,4,3,1,4.006000000000000116e-01,3.007000000000000228e-01,1.009000000000000036e-01,3.035895667219778386e-03
21,4,3,2,4.006000000000000116e-01,3.007000000000000228e-01,2.008000000000000063e-01,5.864983401158185491e-03
22,4,3,3,4.006000000000000116e-01,3.007000000000000228e-01,3.007000000000000228e-01,2.991008996999998913e-03
23,4,4,0,4.006000000000000116e-01,4.006000000000000116e-01,1.000000000000000021e-03,6.455458826117133975e-04
24,4,4,1,4.006000000000000116e-01,4.006000000000000116e-01,1.009000000000000036e-01,2.873583180181378798e-03
25,4,4,2,4.006000000000000116e-01,4.006000000000000116e-01,2.008000000000000063e-01,2.991008996999999781e-03
26,4,4,3,4.006000000000000116e-01,4.006000000000000116e-01,3.007000000000000228e-01,2.991008996999998913e-03
27,4,4,4,4.006000000000000116e-01,4.006000000000000116e-01,4.006000000000000116e-01,9.970029989999995654e-04
28,5,2,2,5.004999999999999449e-01,2.008000000000000063e-01,2.008000000000000063e-01,6.602054159078100623e-05
29,5,3,1,5.004999999999999449e-01,3.007000000000000228e-01,1.009000000000000036e-01,1.325854468190159827e-04
30,5,3,2,5.004999999999999449e-01,3.007000000000000228e-01,2.008000000000000063e-01,3.035199360325276704e-03
31,5,3,3,5.004999999999999449e-01,3.007000000000000228e-01,3.007000000000000228e-01,2.932185421257799390e-03
32,5,4,0,5.004999999999999449e-01,4.006000000000000116e-01,1.000000000000000021e-03,1.323228362290793743e-04
33,5,4,1,5.004999999999999449e-01,4.006000000000000116e-01,1.009000000000000036e-01,3.035875328358598503e-03
34,5,4,2,5.004999999999999449e-01,4.006000000000000116e-01,2.008000000000000063e-01,5.864961865893407456e-03
35,5,4,3,5.004999999999999449e-01,4.006000000000000116e-01,3.007000000000000228e-01,5.982017993999997826e-03
36,5,4,4,5.004999999999999449e-01,4.006000000000000116e-01,4.006000000000000116e-01,2.991008996999998913e-03
37,5,5,0,5.004999999999999449e-01,5.004999999999999449e-01,1.000000000000000021e-03,6.449264446484348099e-04
38,5,5,1,5.004999999999999449e-01,5.004999999999999449e-01,1.009000000000000036e-01,2.874006707055353632e-03
39,5,5,2,5.004999999999999449e-01,5.004999999999999449e-01,2.008000000000000063e-01,2.991008996999999781e-03
40,5,5,3,5.004999999999999449e-01,5.004999999999999449e-01,3.007000000000000228e-01,2.991008996999998913e-03
41,5,5,4,5.004999999999999449e-01,5.004999999999999449e-01,4.006000000000000116e-01,2.991008996999998913e-03
42,5,5,5,5.004999999999999449e-01,5.004999999999999449e-01,5.004999999999999449e-01,9.970029989999995654e-04
43,6,3,2,6.004000000000000448e-01,3.007000000000000228e-01,2.008000000000000063e-01,1.324370927727647911e-04
