,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,2.348616885971175749e-03
1,1,0,0,3.340000000000000191e-01,1.000000000000000021e-03,1.000000000000000021e-03,2.358726311750850620e-03
2,1,1,0,3.340000000000000191e-01,3.340000000000000191e-01,1.000000000000000021e-03,2.332847437240141014e-02
3,1,1,1,3.340000000000000191e-01,3.340000000000000191e-01,3.340000000000000191e-01,3.466114897977541631e-02
4,2,1,0,6.670000000000000373e-01,3.340000000000000191e-01,1.000000000000000021e-03,4.709908634142600907e-03
5,2,1,1,6.670000000000000373e-01,3.340000000000000191e-01,3.340000000000000191e-01,5.564043318948121847e-02
6,2,2,0,6.670000000000000373e-01,6.670000000000000373e-01,1.000000000000000021e-03,2.333059023432149798e-02
7,2,2,1,6.670000000000000373e-01,6.670000000000000373e-01,3.340000000000000191e-01,1.062352336016232218e-01
8,2,2,2,6.670000000000000373e-01,6.670000000000000373e-01,6.670000000000000373e-01,3.692603699999998795e-02
9,3,1,1,1.000000000000000000e+00,3.340000000000000191e-01,3.340000000000000191e-01,2.349780979287600761e-03
10,3,2,0,1.000000000000000000e+00,6.670000000000000373e-01,1.000000000000000021e-03,4.703383803404699755e-03
11,3,2,1,1.000000000000000000e+00,6.670000000000000373e-01,3.340000000000000191e-01,7.872063165950940467e-02
12,3,2,2,1.000000000000000000e+00,6.670000000000000373e-01,6.670000000000000373e-01,5.538905549999997846e-02
13,3,3,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,9.322130360552623868e-03
14,3,3,1,1.000000000000000000e+00,1.000000000000000000e+00,3.340000000000000191e-01,2.769452775000000311e-02
15,3,3,2,1.000000000000000000e+00,1.000000000000000000e+00,6.670000000000000373e-01,2.769452774999998923e-02
16,3,3,3,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.615754624999998494e-03
