,i1,i2,i3,k1,k2,k3,weight
0,2,1,1,7.784615384615384270e-02,3.942307692307692180e-02,3.942307692307692180e-02,1.827203140856870772e-04
1,2,2,1,7.784615384615384270e-02,7.784615384615384270e-02,3.942307692307692180e-02,7.441051150428317114e-04
2,4,2,2,1.546923076923076845e-01,7.784615384615384270e-02,7.784615384615384270e-02,5.638950184285255454e-04
3,5,5,1,1.931153846153846054e-01,1.931153846153846054e-01,3.942307692307692180e-02,1.095929984608641408e-03
4,5,5,2,1.931153846153846054e-01,1.931153846153846054e-01,7.784615384615384270e-02,4.284724380071477934e-03
5,5,5,5,1.931153846153846054e-01,1.931153846153846054e-01,1.931153846153846054e-01,1.861641977372618852e-03
6,6,4,2,2.315384615384615263e-01,1.546923076923076845e-01,7.784615384615384270e-02,8.434856977549607087e-05
7,6,5,5,2.315384615384615263e-01,1.931153846153846054e-01,1.931153846153846054e-01,1.597397473119693562e-03
8,8,4,4,3.083846153846153681e-01,1.546923076923076845e-01,1.546923076923076845e-01,1.689873599702191708e-03
9,9,5,5,3.468076923076922613e-01,1.931153846153846054e-01,1.931153846153846054e-01,6.109826513756465814e-03
10,9,9,1,3.468076923076922613e-01,3.468076923076922613e-01,3.942307692307692180e-02,2.561693508616539380e-03
11,9,9,2,3.468076923076922613e-01,3.468076923076922613e-01,7.784615384615384270e-02,1.490418681112960818e-03
12,9,9,5,3.468076923076922613e-01,3.468076923076922613e-01,1.931153846153846054e-01,5.428606024723342180e-04
13,9,9,9,3.468076923076922613e-01,3.468076923076922613e-01,3.468076923076922613e-01,4.979721350021174692e-03
14,10,9,5,3.852307692307692100e-01,3.468076923076922613e-01,1.931153846153846054e-01,1.577468201280427668e-02
15,10,10,2,3.852307692307692100e-01,3.852307692307692100e-01,7.784615384615384270e-02,2.893333716701326427e-03
16,13,9,5,5.004999999999999449e-01,3.468076923076922613e-01,1.931153846153846054e-01,8.957229347322863107e-05
17,13,10,4,5.004999999999999449e-01,3.852307692307692100e-01,1.546923076923076845e-01,2.751659670545894901e-03
18,14,9,9,5.389230769230769491e-01,3.468076923076922613e-01,3.468076923076922613e-01,1.954386793656925914e-02
19,14,10,4,5.389230769230769491e-01,3.852307692307692100e-01,1.546923076923076845e-01,3.844974881316274434e-03
20,14,10,5,5.389230769230769491e-01,3.852307692307692100e-01,1.931153846153846054e-01,1.095375826444791589e-02
21,14,14,1,5.389230769230769491e-01,5.389230769230769491e-01,3.942307692307692180e-02,1.883876773348823388e-04
22,14,14,2,5.389230769230769491e-01,5.389230769230769491e-01,7.784615384615384270e-02,2.153746367936524349e-03
23,14,14,9,5.389230769230769491e-01,5.389230769230769491e-01,3.468076923076922613e-01,1.955073436097925360e-02
24,14,14,13,5.389230769230769491e-01,5.389230769230769491e-01,5.004999999999999449e-01,6.662637592682597344e-03
25,15,14,2,5.773461538461538423e-01,5.389230769230769491e-01,7.784615384615384270e-02,2.629223688871269032e-03
26,15,14,5,5.773461538461538423e-01,5.389230769230769491e-01,1.931153846153846054e-01,5.953827111358411285e-03
27,15,15,1,5.773461538461538423e-01,5.773461538461538423e-01,3.942307692307692180e-02,1.815952977220363675e-03
28,15,15,2,5.773461538461538423e-01,5.773461538461538423e-01,7.784615384615384270e-02,2.844501043517620969e-04
29,15,15,5,5.773461538461538423e-01,5.773461538461538423e-01,1.931153846153846054e-01,7.791360973007170274e-03
30,18,10,9,6.926153846153845217e-01,3.852307692307692100e-01,3.468076923076922613e-01,2.362828442448159684e-03
31,18,14,4,6.926153846153845217e-01,5.389230769230769491e-01,1.546923076923076845e-01,4.912406114233969310e-04
32,18,14,13,6.926153846153845217e-01,5.389230769230769491e-01,5.004999999999999449e-01,1.040799020566488854e-02
33,18,14,14,6.926153846153845217e-01,5.389230769230769491e-01,5.389230769230769491e-01,8.293469518923488092e-04
34,18,15,4,6.926153846153845217e-01,5.773461538461538423e-01,1.546923076923076845e-01,7.025635843909692688e-03
35,18,18,13,6.926153846153845217e-01,6.926153846153845217e-01,5.004999999999999449e-01,2.031482838681619024e-02
36,19,10,9,7.310384615384615259e-01,3.852307692307692100e-01,3.468076923076922613e-01,3.389157683238577974e-03
37,19,10,10,7.310384615384615259e-01,3.852307692307692100e-01,3.852307692307692100e-01,1.877389214289802623e-03
38,19,14,8,7.310384615384615259e-01,5.389230769230769491e-01,3.083846153846153681e-01,4.383592874881382141e-03
39,19,14,9,7.310384615384615259e-01,5.389230769230769491e-01,3.468076923076922613e-01,3.292977864168401825e-02
40,19,14,14,7.310384615384615259e-01,5.389230769230769491e-01,5.389230769230769491e-01,1.345058284328045370e-03
41,19,15,4,7.310384615384615259e-01,5.773461538461538423e-01,1.546923076923076845e-01,5.540615279700896378e-04
42,19,15,5,7.310384615384615259e-01,5.773461538461538423e-01,1.931153846153846054e-01,5.619212312360274963e-03
43,19,19,1,7.310384615384615259e-01,7.310384615384615259e-01,3.942307692307692180e-02,2.017944540295664793e-03
44,19,19,2,7.310384615384615259e-01,7.310384615384615259e-01,7.784615384615384270e-02,2.487077199110212557e-03
45,19,19,5,7.310384615384615259e-01,7.310384615384615259e-01,1.931153846153846054e-01,8.095411541357023719e-03
46,19,19,8,7.310384615384615259e-01,7.310384615384615259e-01,3.083846153846153681e-01,1.215269916560814470e-02
47,19,19,18,7.310384615384615259e-01,7.310384615384615259e-01,6.926153846153845217e-01,3.615424153333055349e-03
48,19,19,19,7.310384615384615259e-01,7.310384615384615259e-01,7.310384615384615259e-01,4.268552827884189264e-03
49,22,14,9,8.463076923076923164e-01,5.389230769230769491e-01,3.468076923076922613e-01,2.069896973654246092e-03
