,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,8.997787950255000809e-05
1,1,0,0,1.120000000000000023e-01,1.000000000000000021e-03,1.000000000000000021e-03,9.031718875365000803e-05
2,1,1,0,1.120000000000000023e-01,1.120000000000000023e-01,1.000000000000000021e-03,8.820071139960003297e-04
3,1,1,1,1.120000000000000023e-01,1.120000000000000023e-01,1.120000000000000023e-01,1.286790058063800625e-03
4,2,1,0,2.230000000000000038e-01,1.120000000000000023e-01,1.000000000000000021e-03,1.796714285202000725e-04
5,2,1,1,2.230000000000000038e-01,1.120000000000000023e-01,1.120000000000000023e-01,2.078414815689000935e-03
6,2,2,0,2.230000000000000038e-01,2.230000000000000038e-01,1.000000000000000021e-03,8.822048734386003484e-04
7,2,2,1,2.230000000000000038e-01,2.230000000000000038e-01,1.120000000000000023e-01,3.941283327044401395e-03
8,2,2,2,2.230000000000000038e-01,2.230000000000000038e-01,2.230000000000000038e-01,1.367631000000000662e-03
9,3,1,1,3.340000000000000191e-01,1.120000000000000023e-01,1.120000000000000023e-01,9.013153284540001355e-05
10,3,2,0,3.340000000000000191e-01,2.230000000000000038e-01,1.000000000000000021e-03,1.794777719705999825e-04
11,3,2,1,3.340000000000000191e-01,2.230000000000000038e-01,1.120000000000000023e-01,4.156793525919601044e-03
12,3,2,2,3.340000000000000191e-01,2.230000000000000038e-01,2.230000000000000038e-01,4.021732032409800622e-03
13,3,3,0,3.340000000000000191e-01,3.340000000000000191e-01,1.000000000000000021e-03,8.830115022023998436e-04
14,3,3,1,3.340000000000000191e-01,3.340000000000000191e-01,1.120000000000000023e-01,3.940738462853999972e-03
15,3,3,2,3.340000000000000191e-01,3.340000000000000191e-01,2.230000000000000038e-01,4.102892999999999818e-03
16,3,3,3,3.340000000000000191e-01,3.340000000000000191e-01,3.340000000000000191e-01,1.367630999999999578e-03
17,4,2,1,4.450000000000000067e-01,2.230000000000000038e-01,1.120000000000000023e-01,1.804829807556001435e-04
18,4,2,2,4.450000000000000067e-01,2.230000000000000038e-01,2.230000000000000038e-01,2.078093148877801621e-03
19,4,3,0,4.450000000000000067e-01,3.340000000000000191e-01,1.000000000000000021e-03,1.806963311916000704e-04
20,4,3,1,4.450000000000000067e-01,3.340000000000000191e-01,1.120000000000000023e-01,4.158608645782801636e-03
21,4,3,2,4.450000000000000067e-01,3.340000000000000191e-01,2.230000000000000038e-01,8.043557610780002753e-03
22,4,3,3,4.450000000000000067e-01,3.340000000000000191e-01,3.340000000000000191e-01,4.102893000000000685e-03
23,4,4,0,4.450000000000000067e-01,4.450000000000000067e-01,1.000000000000000021e-03,8.826151627386007040e-04
24,4,4,1,4.450000000000000067e-01,4.450000000000000067e-01,1.120000000000000023e-01,3.940766362526403055e-03
25,4,4,2,4.450000000000000067e-01,4.450000000000000067e-01,2.230000000000000038e-01,4.102893000000003287e-03
26,4,4,3,4.450000000000000067e-01,4.450000000000000067e-01,3.340000000000000191e-01,4.102893000000002420e-03
27,4,4,4,4.450000000000000067e-01,4.450000000000000067e-01,4.450000000000000067e-01,1.367631000000001529e-03
28,5,2,2,5.560000000000000497e-01,2.230000000000000038e-01,2.230000000000000038e-01,9.032436881640002564e-05
29,5,3,1,5.560000000000000497e-01,3.340000000000000191e-01,1.120000000000000023e-01,1.808161356672000064e-04
30,5,3,2,5.560000000000000497e-01,3.340000000000000191e-01,2.230000000000000038e-01,4.158667727442000306e-03
31,5,3,3,5.560000000000000497e-01,3.340000000000000191e-01,3.340000000000000191e-01,4.021658180335799249e-03
32,5,4,0,5.560000000000000497e-01,4.450000000000000067e-01,1.000000000000000021e-03,1.799528869800000688e-04
33,5,4,1,5.560000000000000497e-01,4.450000000000000067e-01,1.120000000000000023e-01,4.159199462374802217e-03
34,5,4,2,5.560000000000000497e-01,4.450000000000000067e-01,2.230000000000000038e-01,8.043447653247602289e-03
35,5,4,3,5.560000000000000497e-01,4.450000000000000067e-01,3.340000000000000191e-01,8.205786000000001371e-03
36,5,4,4,5.560000000000000497e-01,4.450000000000000067e-01,4.450000000000000067e-01,4.102893000000002420e-03
37,5,5,0,5.560000000000000497e-01,5.560000000000000497e-01,1.000000000000000021e-03,8.822582110475997745e-04
38,5,5,1,5.560000000000000497e-01,5.560000000000000497e-01,1.120000000000000023e-01,3.941130699424800349e-03
39,5,5,2,5.560000000000000497e-01,5.560000000000000497e-01,2.230000000000000038e-01,4.102892999999999818e-03
40,5,5,3,5.560000000000000497e-01,5.560000000000000497e-01,3.340000000000000191e-01,4.102892999999998951e-03
41,5,5,4,5.560000000000000497e-01,5.560000000000000497e-01,4.450000000000000067e-01,4.102893000000000685e-03
42,5,5,5,5.560000000000000497e-01,5.560000000000000497e-01,5.560000000000000497e-01,1.367630999999999578e-03
43,6,3,2,6.670000000000000373e-01,3.340000000000000191e-01,2.230000000000000038e-01,1.800054040104000132e-04
44,6,3,3,6.670000000000000373e-01,3.340000000000000191e-01,3.340000000000000191e-01,2.079005632280999348e-03
45,6,4,1,6.670000000000000373e-01,4.450000000000000067e-01,1.120000000000000023e-01,1.812018076092000577e-04
46,6,4,2,6.670000000000000373e-01,4.450000000000000067e-01,2.230000000000000038e-01,4.155126110204401466e-03
47,6,4,3,6.670000000000000373e-01,4.450000000000000067e-01,3.340000000000000191e-01,8.044575128244000478e-03
48,6,4,4,6.670000000000000373e-01,4.450000000000000067e-01,4.450000000000000067e-01,4.102893000000002420e-03
49,6,5,0,6.670000000000000373e-01,5.560000000000000497e-01,1.000000000000000021e-03,1.800940264991999433e-04
50,6,5,1,6.670000000000000373e-01,5.560000000000000497e-01,1.120000000000000023e-01,4.158224614997999870e-03
51,6,5,2,6.670000000000000373e-01,5.560000000000000497e-01,2.230000000000000038e-01,8.042602457289599674e-03
52,6,5,3,6.670000000000000373e-01,5.560000000000000497e-01,3.340000000000000191e-01,8.205785999999997901e-03
53,6,5,4,6.670000000000000373e-01,5.560000000000000497e-01,4.450000000000000067e-01,8.205786000000001371e-03
54,6,5,5,6.670000000000000373e-01,5.560000000000000497e-01,5.560000000000000497e-01,4.102892999999998951e-03
55,6,6,0,6.670000000000000373e-01,6.670000000000000373e-01,1.000000000000000021e-03,8.824539190436997069e-04
56,6,6,1,6.670000000000000373e-01,6.670000000000000373e-01,1.120000000000000023e-01,3.941511447895200068e-03
57,6,6,2,6.670000000000000373e-01,6.670000000000000373e-01,2.230000000000000038e-01,4.102892999999999818e-03
58,6,6,3,6.670000000000000373e-01,6.670000000000000373e-01,3.340000000000000191e-01,4.102892999999998951e-03
59,6,6,4,6.670000000000000373e-01,6.670000000000000373e-01,4.450000000000000067e-01,4.102893000000000685e-03
60,6,6,5,6.670000000000000373e-01,6.670000000000000373e-01,5.560000000000000497e-01,4.102892999999998951e-03
61,6,6,6,6.670000000000000373e-01,6.670000000000000373e-01,6.670000000000000373e-01,1.367630999999999578e-03
62,7,3,3,7.780000000000000249e-01,3.340000000000000191e-01,3.340000000000000191e-01,9.047781701459998451e-05
63,7,4,2,7.780000000000000249e-01,4.450000000000000067e-01,2.230000000000000038e-01,1.802171132892000825e-04
64,7,4,3,7.780000000000000249e-01,4.450000000000000067e-01,3.340000000000000191e-01,4.157893101243600488e-03
65,7,4,4,7.780000000000000249e-01,4.450000000000000067e-01,4.450000000000000067e-01,4.022257202713801910e-03
66,7,5,1,7.780000000000000249e-01,5.560000000000000497e-01,1.120000000000000023e-01,1.803270708216000052e-04
67,7,5,2,7.780000000000000249e-01,5.560000000000000497e-01,2.230000000000000038e-01,4.160299037698799926e-03
