,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.181047666978124962e-05
1,1,0,0,5.650000000000000161e-02,1.000000000000000021e-03,1.000000000000000021e-03,1.189313286834375129e-05
2,1,1,0,5.650000000000000161e-02,5.650000000000000161e-02,1.000000000000000021e-03,1.137139873723125327e-04
3,1,1,1,5.650000000000000161e-02,5.650000000000000161e-02,5.650000000000000161e-02,1.613269494371250771e-04
4,2,1,0,1.120000000000000023e-01,5.650000000000000161e-02,1.000000000000000021e-03,2.391319898887500891e-05
5,2,1,1,1.120000000000000023e-01,5.650000000000000161e-02,5.650000000000000161e-02,2.633959862291250942e-04
6,2,2,0,1.120000000000000023e-01,1.120000000000000023e-01,1.000000000000000021e-03,1.138093796345625498e-04
7,2,2,1,1.120000000000000023e-01,1.120000000000000023e-01,5.650000000000000161e-02,4.936503413891251855e-04
8,2,2,2,1.120000000000000023e-01,1.120000000000000023e-01,1.120000000000000023e-01,1.709538750000000828e-04
9,3,1,1,1.675000000000000100e-01,5.650000000000000161e-02,5.650000000000000161e-02,1.187479806525000206e-05
10,3,2,0,1.675000000000000100e-01,1.120000000000000023e-01,1.000000000000000021e-03,2.384344980787499711e-05
11,3,2,1,1.675000000000000100e-01,1.120000000000000023e-01,5.650000000000000161e-02,5.265847763617501412e-04
12,3,2,2,1.675000000000000100e-01,1.120000000000000023e-01,1.120000000000000023e-01,5.034275354081250379e-04
13,3,3,0,1.675000000000000100e-01,1.675000000000000100e-01,1.000000000000000021e-03,1.136703941341874597e-04
14,3,3,1,1.675000000000000100e-01,1.675000000000000100e-01,5.650000000000000161e-02,4.937811211034999438e-04
15,3,3,2,1.675000000000000100e-01,1.675000000000000100e-01,1.120000000000000023e-01,5.128616249999999772e-04
16,3,3,3,1.675000000000000100e-01,1.675000000000000100e-01,1.675000000000000100e-01,1.709538749999999472e-04
17,4,2,1,2.230000000000000038e-01,1.120000000000000023e-01,5.650000000000000161e-02,2.359266047325001909e-05
18,4,2,2,2.230000000000000038e-01,1.120000000000000023e-01,1.120000000000000023e-01,2.631893029942502312e-04
19,4,3,0,2.230000000000000038e-01,1.675000000000000100e-01,1.000000000000000021e-03,2.365676817637501027e-05
20,4,3,1,2.230000000000000038e-01,1.675000000000000100e-01,5.650000000000000161e-02,5.264657924647502289e-04
21,4,3,2,2.230000000000000038e-01,1.675000000000000100e-01,1.120000000000000023e-01,1.006281691519500445e-03
22,4,3,3,2.230000000000000038e-01,1.675000000000000100e-01,1.675000000000000100e-01,5.128616250000000857e-04
23,4,4,0,2.230000000000000038e-01,2.230000000000000038e-01,1.000000000000000021e-03,1.134078089821875882e-04
24,4,4,1,2.230000000000000038e-01,2.230000000000000038e-01,5.650000000000000161e-02,4.936344426787503837e-04
25,4,4,2,2.230000000000000038e-01,2.230000000000000038e-01,1.120000000000000023e-01,5.128616250000004109e-04
26,4,4,3,2.230000000000000038e-01,2.230000000000000038e-01,1.675000000000000100e-01,5.128616250000003025e-04
27,4,4,4,2.230000000000000038e-01,2.230000000000000038e-01,2.230000000000000038e-01,1.709538750000001912e-04
28,5,2,2,2.785000000000000253e-01,1.120000000000000023e-01,1.120000000000000023e-01,1.169991225112500180e-05
29,5,3,1,2.785000000000000253e-01,1.675000000000000100e-01,5.650000000000000161e-02,2.382549965099999714e-05
30,5,3,2,2.785000000000000253e-01,1.675000000000000100e-01,1.120000000000000023e-01,5.274474096150000204e-04
31,5,3,3,2.785000000000000253e-01,1.675000000000000100e-01,1.675000000000000100e-01,5.033762492456248308e-04
32,5,4,0,2.785000000000000253e-01,2.230000000000000038e-01,1.000000000000000021e-03,2.385729707175000735e-05
33,5,4,1,2.785000000000000253e-01,2.230000000000000038e-01,5.650000000000000161e-02,5.267847923955002115e-04
34,5,4,2,2.785000000000000253e-01,2.230000000000000038e-01,1.120000000000000023e-01,1.006332977682000435e-03
35,5,4,3,2.785000000000000253e-01,2.230000000000000038e-01,1.675000000000000100e-01,1.025723250000000171e-03
36,5,4,4,2.785000000000000253e-01,2.230000000000000038e-01,2.230000000000000038e-01,5.128616250000003025e-04
37,5,5,0,2.785000000000000253e-01,2.785000000000000253e-01,1.000000000000000021e-03,1.137145002339374730e-04
38,5,5,1,2.785000000000000253e-01,2.785000000000000253e-01,5.650000000000000161e-02,4.937180391236249992e-04
39,5,5,2,2.785000000000000253e-01,2.785000000000000253e-01,1.120000000000000023e-01,5.128616249999999772e-04
40,5,5,3,2.785000000000000253e-01,2.785000000000000253e-01,1.675000000000000100e-01,5.128616249999998688e-04
41,5,5,4,2.785000000000000253e-01,2.785000000000000253e-01,2.230000000000000038e-01,5.128616250000000857e-04
42,5,5,5,2.785000000000000253e-01,2.785000000000000253e-01,2.785000000000000253e-01,1.709538749999999472e-04
43,6,3,2,3.340000000000000191e-01,1.675000000000000100e-01,1.120000000000000023e-01,2.374754468399999910e-05
44,6,3,3,3.340000000000000191e-01,1.675000000000000100e-01,1.675000000000000100e-01,2.628626101391249247e-04
45,6,4,1,3.340000000000000191e-01,2.230000000000000038e-01,5.650000000000000161e-02,2.338751582325000731e-05
46,6,4,2,3.340000000000000191e-01,2.230000000000000038e-01,1.120000000000000023e-01,5.269386508830001823e-04
47,6,4,3,3.340000000000000191e-01,2.230000000000000038e-01,1.675000000000000100e-01,1.006689929373000064e-03
48,6,4,4,3.340000000000000191e-01,2.230000000000000038e-01,2.230000000000000038e-01,5.128616250000003025e-04
49,6,5,0,3.340000000000000191e-01,2.785000000000000253e-01,1.000000000000000021e-03,2.368189839599999397e-05
50,6,5,1,3.340000000000000191e-01,2.785000000000000253e-01,5.650000000000000161e-02,5.261826928477499141e-04
51,6,5,2,3.340000000000000191e-01,2.785000000000000253e-01,1.120000000000000023e-01,1.006445807239499980e-03
52,6,5,3,3.340000000000000191e-01,2.785000000000000253e-01,1.675000000000000100e-01,1.025723249999999738e-03
53,6,5,4,3.340000000000000191e-01,2.785000000000000253e-01,2.230000000000000038e-01,1.025723250000000171e-03
54,6,5,5,3.340000000000000191e-01,2.785000000000000253e-01,2.785000000000000253e-01,5.128616249999998688e-04
55,6,6,0,3.340000000000000191e-01,3.340000000000000191e-01,1.000000000000000021e-03,1.134475557581249723e-04
56,6,6,1,3.340000000000000191e-01,3.340000000000000191e-01,5.650000000000000161e-02,4.935693092523749190e-04
57,6,6,2,3.340000000000000191e-01,3.340000000000000191e-01,1.120000000000000023e-01,5.128616249999999772e-04
