,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,2.206516104133352061e-03
1,1,1,0,3.340000000000000191e-01,3.340000000000000191e-01,1.000000000000000021e-03,9.792008145147077999e-03
2,1,1,1,3.340000000000000191e-01,3.340000000000000191e-01,3.340000000000000191e-01,5.564762344447375664e-02
3,2,1,1,6.670000000000000373e-01,3.340000000000000191e-01,3.340000000000000191e-01,4.105508400848768141e-02
4,2,2,0,6.670000000000000373e-01,6.670000000000000373e-01,1.000000000000000021e-03,3.054743590873768358e-02
5,2,2,1,6.670000000000000373e-01,6.670000000000000373e-01,3.340000000000000191e-01,1.116569940441904663e-01
6,2,2,2,6.670000000000000373e-01,6.670000000000000373e-01,6.670000000000000373e-01,1.139823916605830906e-01
7,3,2,1,1.000000000000000000e+00,6.670000000000000373e-01,3.340000000000000191e-01,7.471486229952611913e-02
8,3,3,1,1.000000000000000000e+00,1.000000000000000000e+00,3.340000000000000191e-01,2.542850372107943388e-02
9,3,3,2,1.000000000000000000e+00,1.000000000000000000e+00,6.670000000000000373e-01,3.366701734077255648e-02
