,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.921515680784771394e-05
1,1,1,0,8.425000000000000544e-02,8.425000000000000544e-02,1.000000000000000021e-03,5.361973096290847170e-04
2,2,1,1,1.675000000000000100e-01,8.425000000000000544e-02,8.425000000000000544e-02,1.501085950120399116e-03
3,2,2,0,1.675000000000000100e-01,1.675000000000000100e-01,1.000000000000000021e-03,1.991031016900554184e-04
4,2,2,1,1.675000000000000100e-01,1.675000000000000100e-01,8.425000000000000544e-02,2.365058108071844620e-03
5,2,2,2,1.675000000000000100e-01,1.675000000000000100e-01,1.675000000000000100e-01,3.548880021461120124e-03
6,4,3,1,3.340000000000000191e-01,2.507500000000000284e-01,8.425000000000000544e-02,5.987917206034244072e-03
7,4,4,1,3.340000000000000191e-01,3.340000000000000191e-01,8.425000000000000544e-02,7.303846321557535930e-03
8,4,4,2,3.340000000000000191e-01,3.340000000000000191e-01,1.675000000000000100e-01,3.344370854437621939e-03
9,4,4,3,3.340000000000000191e-01,3.340000000000000191e-01,2.507500000000000284e-01,7.347394259902780868e-03
10,4,4,4,3.340000000000000191e-01,3.340000000000000191e-01,3.340000000000000191e-01,4.004597707086095444e-04
11,5,3,3,4.172500000000000098e-01,2.507500000000000284e-01,2.507500000000000284e-01,1.216408098591880566e-02
12,6,4,3,5.005000000000000560e-01,3.340000000000000191e-01,2.507500000000000284e-01,1.041881170024406070e-02
13,6,6,1,5.005000000000000560e-01,5.005000000000000560e-01,8.425000000000000544e-02,2.878832805293778715e-03
14,6,6,3,5.005000000000000560e-01,5.005000000000000560e-01,2.507500000000000284e-01,2.182087224460866823e-02
15,6,6,6,5.005000000000000560e-01,5.005000000000000560e-01,5.005000000000000560e-01,1.087616813378145149e-02
16,7,4,4,5.837499999999999911e-01,3.340000000000000191e-01,3.340000000000000191e-01,3.751618214459023423e-03
17,7,6,1,5.837499999999999911e-01,5.005000000000000560e-01,8.425000000000000544e-02,1.101585021914217380e-02
18,7,6,3,5.837499999999999911e-01,5.005000000000000560e-01,2.507500000000000284e-01,1.166552437658952522e-02
19,7,6,4,5.837499999999999911e-01,5.005000000000000560e-01,3.340000000000000191e-01,8.105752568784077919e-03
20,7,7,0,5.837499999999999911e-01,5.837499999999999911e-01,1.000000000000000021e-03,1.219756849851920047e-05
21,7,7,1,5.837499999999999911e-01,5.837499999999999911e-01,8.425000000000000544e-02,2.583827193582238693e-03
22,8,4,4,6.670000000000000373e-01,3.340000000000000191e-01,3.340000000000000191e-01,6.558093204578472300e-03
23,8,6,6,6.670000000000000373e-01,5.005000000000000560e-01,5.005000000000000560e-01,1.547007783182816759e-02
24,9,6,3,7.502500000000000835e-01,5.005000000000000560e-01,2.507500000000000284e-01,1.312210068754737866e-03
25,9,6,4,7.502500000000000835e-01,5.005000000000000560e-01,3.340000000000000191e-01,8.699100707464704416e-03
26,9,6,6,7.502500000000000835e-01,5.005000000000000560e-01,5.005000000000000560e-01,2.910474118994844581e-02
27,9,7,3,7.502500000000000835e-01,5.837499999999999911e-01,2.507500000000000284e-01,3.565952117306434022e-02
28,9,8,8,7.502500000000000835e-01,6.670000000000000373e-01,6.670000000000000373e-01,2.190228938134612321e-03
29,9,9,1,7.502500000000000835e-01,7.502500000000000835e-01,8.425000000000000544e-02,1.082332066889253770e-02
30,9,9,3,7.502500000000000835e-01,7.502500000000000835e-01,2.507500000000000284e-01,1.753780801088433011e-02
31,9,9,5,7.502500000000000835e-01,7.502500000000000835e-01,4.172500000000000098e-01,2.018006701195518629e-02
32,9,9,6,7.502500000000000835e-01,7.502500000000000835e-01,5.005000000000000560e-01,8.421550802100717312e-03
33,9,9,8,7.502500000000000835e-01,7.502500000000000835e-01,6.670000000000000373e-01,1.789894508815251251e-02
34,10,9,1,8.335000000000000187e-01,7.502500000000000835e-01,8.425000000000000544e-02,4.372017235605795793e-04
35,10,10,0,8.335000000000000187e-01,8.335000000000000187e-01,1.000000000000000021e-03,1.905432895809793079e-04
36,10,10,1,8.335000000000000187e-01,8.335000000000000187e-01,8.425000000000000544e-02,4.334143185773626860e-05
37,11,6,6,9.167500000000000648e-01,5.005000000000000560e-01,5.005000000000000560e-01,1.609731032588142610e-02
38,11,7,4,9.167500000000000648e-01,5.837499999999999911e-01,3.340000000000000191e-01,5.136246171186071088e-03
39,11,8,6,9.167500000000000648e-01,6.670000000000000373e-01,5.005000000000000560e-01,8.951319827806560395e-03
40,11,8,8,9.167500000000000648e-01,6.670000000000000373e-01,6.670000000000000373e-01,6.345575047555147320e-03
41,11,9,3,9.167500000000000648e-01,7.502500000000000835e-01,2.507500000000000284e-01,2.635420431521839219e-02
42,11,9,5,9.167500000000000648e-01,7.502500000000000835e-01,4.172500000000000098e-01,4.007390984398453808e-03
43,11,9,6,9.167500000000000648e-01,7.502500000000000835e-01,5.005000000000000560e-01,3.798542753218704660e-02
44,11,9,9,9.167500000000000648e-01,7.502500000000000835e-01,7.502500000000000835e-01,9.117355813326729480e-03
45,11,10,1,9.167500000000000648e-01,8.335000000000000187e-01,8.425000000000000544e-02,3.331374857203280374e-03
46,11,11,1,9.167500000000000648e-01,9.167500000000000648e-01,8.425000000000000544e-02,4.613032304212408286e-03
47,11,11,2,9.167500000000000648e-01,9.167500000000000648e-01,1.675000000000000100e-01,4.820913108696170521e-05
48,11,11,3,9.167500000000000648e-01,9.167500000000000648e-01,2.507500000000000284e-01,1.202178742313411361e-02
49,11,11,6,9.167500000000000648e-01,9.167500000000000648e-01,5.005000000000000560e-01,1.077698454723119079e-02
50,11,11,8,9.167500000000000648e-01,9.167500000000000648e-01,6.670000000000000373e-01,4.265550155720139805e-03
51,11,11,9,9.167500000000000648e-01,9.167500000000000648e-01,7.502500000000000835e-01,1.306083363524576137e-02
52,11,11,11,9.167500000000000648e-01,9.167500000000000648e-01,9.167500000000000648e-01,1.625258850708084573e-03
53,12,6,6,1.000000000000000000e+00,5.005000000000000560e-01,5.005000000000000560e-01,7.770929384326221443e-04
54,12,8,6,1.000000000000000000e+00,6.670000000000000373e-01,5.005000000000000560e-01,4.453517555420815829e-03
55,12,9,3,1.000000000000000000e+00,7.502500000000000835e-01,2.507500000000000284e-01,1.748390152097729000e-03
56,12,9,5,1.000000000000000000e+00,7.502500000000000835e-01,4.172500000000000098e-01,4.392792429569716134e-03
57,12,9,9,1.000000000000000000e+00,7.502500000000000835e-01,7.502500000000000835e-01,5.788589797487908410e-03
58,12,11,1,1.000000000000000000e+00,9.167500000000000648e-01,8.425000000000000544e-02,9.808198238995164981e-04
59,12,11,3,1.000000000000000000e+00,9.167500000000000648e-01,2.507500000000000284e-01,4.316250726957667448e-03
60,12,11,5,1.000000000000000000e+00,9.167500000000000648e-01,4.172500000000000098e-01,2.938676260426068172e-03
61,12,11,6,1.000000000000000000e+00,9.167500000000000648e-01,5.005000000000000560e-01,3.638393555818554125e-03
62,12,11,9,1.000000000000000000e+00,9.167500000000000648e-01,7.502500000000000835e-01,1.118912082517859634e-03
63,12,11,11,1.000000000000000000e+00,9.167500000000000648e-01,9.167500000000000648e-01,1.973424696662750156e-03
64,12,12,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,5.113803200106780176e-05
