,i1,i2,i3,k1,k2,k3,weight
0,2,1,1,7.235714285714285599e-02,3.667857142857142844e-02,3.667857142857142844e-02,3.187468954382616931e-04
1,2,2,2,7.235714285714285599e-02,7.235714285714285599e-02,7.235714285714285599e-02,4.284026991680107955e-04
2,4,2,2,1.437142857142857111e-01,7.235714285714285599e-02,7.235714285714285599e-02,9.779822635619160685e-04
3,5,5,5,1.793928571428571317e-01,1.793928571428571317e-01,1.793928571428571317e-01,2.525538334680532768e-03
4,6,5,1,2.150714285714285801e-01,1.793928571428571317e-01,3.667857142857142844e-02,7.643192640273696950e-04
5,6,5,2,2.150714285714285801e-01,1.793928571428571317e-01,7.235714285714285599e-02,4.597900968659585194e-04
6,6,6,2,2.150714285714285801e-01,2.150714285714285801e-01,7.235714285714285599e-02,4.888491198021865415e-03
7,6,6,6,2.150714285714285801e-01,2.150714285714285801e-01,2.150714285714285801e-01,8.660322476017794438e-04
8,7,5,2,2.507499999999999729e-01,1.793928571428571317e-01,7.235714285714285599e-02,4.921406173038620673e-04
9,10,5,5,3.577857142857142625e-01,1.793928571428571317e-01,1.793928571428571317e-01,1.707798477907185569e-03
10,10,6,6,3.577857142857142625e-01,2.150714285714285801e-01,2.150714285714285801e-01,9.055324939143179902e-03
11,10,10,10,3.577857142857142625e-01,3.577857142857142625e-01,3.577857142857142625e-01,3.509023466554195021e-03
12,11,6,6,3.934642857142857109e-01,2.150714285714285801e-01,2.150714285714285801e-01,4.186727865047375641e-04
13,11,10,1,3.934642857142857109e-01,3.577857142857142625e-01,3.667857142857142844e-02,1.164267447243544796e-03
14,11,10,5,3.934642857142857109e-01,3.577857142857142625e-01,1.793928571428571317e-01,9.675580697993173274e-03
15,11,10,6,3.934642857142857109e-01,3.577857142857142625e-01,2.150714285714285801e-01,4.300934236122850619e-03
16,11,11,2,3.934642857142857109e-01,3.934642857142857109e-01,7.235714285714285599e-02,3.191751127362078399e-03
17,11,11,5,3.934642857142857109e-01,3.934642857142857109e-01,1.793928571428571317e-01,3.035903873502839891e-03
18,11,11,11,3.934642857142857109e-01,3.934642857142857109e-01,3.934642857142857109e-01,4.010151275077216207e-03
19,12,10,2,4.291428571428571592e-01,3.577857142857142625e-01,7.235714285714285599e-02,2.448837828080376554e-03
