,i1,i2,i3,k1,k2,k3,weight
0,2,1,1,1.120000000000000023e-01,5.650000000000000161e-02,5.650000000000000161e-02,1.680963372863744599e-03
1,2,2,2,1.120000000000000023e-01,1.120000000000000023e-01,1.120000000000000023e-01,1.655742331106428060e-04
2,3,2,1,1.675000000000000100e-01,1.120000000000000023e-01,5.650000000000000161e-02,2.215027109067347331e-04
3,4,4,2,2.230000000000000038e-01,2.230000000000000038e-01,1.120000000000000023e-01,8.838594916364980389e-03
4,4,4,4,2.230000000000000038e-01,2.230000000000000038e-01,2.230000000000000038e-01,1.340342479227955939e-03
5,5,4,1,2.785000000000000253e-01,2.230000000000000038e-01,5.650000000000000161e-02,4.029664472804829652e-03
6,7,4,4,3.895000000000000129e-01,2.230000000000000038e-01,2.230000000000000038e-01,1.886675762637800334e-03
7,7,5,4,3.895000000000000129e-01,2.785000000000000253e-01,2.230000000000000038e-01,1.231762868903176107e-02
8,7,7,4,3.895000000000000129e-01,3.895000000000000129e-01,2.230000000000000038e-01,4.891720150070469949e-04
9,7,7,7,3.895000000000000129e-01,3.895000000000000129e-01,3.895000000000000129e-01,5.613484516970020793e-03
10,8,4,4,4.450000000000000067e-01,2.230000000000000038e-01,2.230000000000000038e-01,2.028285375771880089e-03
11,8,5,4,4.450000000000000067e-01,2.785000000000000253e-01,2.230000000000000038e-01,4.704065779060646185e-03
12,8,7,1,4.450000000000000067e-01,3.895000000000000129e-01,5.650000000000000161e-02,3.883318929732397593e-03
13,8,8,1,4.450000000000000067e-01,4.450000000000000067e-01,5.650000000000000161e-02,1.448668619816861642e-03
14,8,8,2,4.450000000000000067e-01,4.450000000000000067e-01,1.120000000000000023e-01,6.878765962891880172e-03
15,8,8,4,4.450000000000000067e-01,4.450000000000000067e-01,2.230000000000000038e-01,1.592260124209453689e-02
16,8,8,8,4.450000000000000067e-01,4.450000000000000067e-01,4.450000000000000067e-01,4.252282845724068491e-03
17,9,8,1,5.004999999999999449e-01,4.450000000000000067e-01,5.650000000000000161e-02,2.293781144102096574e-04
18,11,8,4,6.115000000000000435e-01,4.450000000000000067e-01,2.230000000000000038e-01,2.226430132051808106e-02
19,11,8,7,6.115000000000000435e-01,4.450000000000000067e-01,3.895000000000000129e-01,1.604287724967637385e-02
20,11,11,1,6.115000000000000435e-01,6.115000000000000435e-01,5.650000000000000161e-02,1.139498231939335650e-03
21,11,11,2,6.115000000000000435e-01,6.115000000000000435e-01,1.120000000000000023e-01,1.737796065696023927e-03
22,11,11,4,6.115000000000000435e-01,6.115000000000000435e-01,2.230000000000000038e-01,6.214168631596684624e-03
23,11,11,7,6.115000000000000435e-01,6.115000000000000435e-01,3.895000000000000129e-01,2.175481720982661710e-02
24,11,11,11,6.115000000000000435e-01,6.115000000000000435e-01,6.115000000000000435e-01,9.068010240821079704e-03
25,12,7,7,6.670000000000000373e-01,3.895000000000000129e-01,3.895000000000000129e-01,1.869387024705686413e-03
26,12,8,4,6.670000000000000373e-01,4.450000000000000067e-01,2.230000000000000038e-01,6.028394121102763521e-03
27,12,8,7,6.670000000000000373e-01,4.450000000000000067e-01,3.895000000000000129e-01,1.034457358012496643e-02
28,12,11,1,6.670000000000000373e-01,6.115000000000000435e-01,5.650000000000000161e-02,4.007388884681089419e-03
29,12,12,2,6.670000000000000373e-01,6.670000000000000373e-01,1.120000000000000023e-01,6.316539874815840783e-03
30,12,12,4,6.670000000000000373e-01,6.670000000000000373e-01,2.230000000000000038e-01,5.939013833324925488e-03
31,14,8,8,7.780000000000000249e-01,4.450000000000000067e-01,4.450000000000000067e-01,1.844736392794256354e-03
32,14,11,7,7.780000000000000249e-01,6.115000000000000435e-01,3.895000000000000129e-01,2.522436061082131142e-02
33,14,11,11,7.780000000000000249e-01,6.115000000000000435e-01,6.115000000000000435e-01,1.368092662676577594e-02
34,14,12,4,7.780000000000000249e-01,6.670000000000000373e-01,2.230000000000000038e-01,1.353405173155300401e-02
35,14,12,7,7.780000000000000249e-01,6.670000000000000373e-01,3.895000000000000129e-01,2.112764653790947210e-03
36,14,14,11,7.780000000000000249e-01,7.780000000000000249e-01,6.115000000000000435e-01,1.259603300770722979e-03
37,14,14,12,7.780000000000000249e-01,7.780000000000000249e-01,6.670000000000000373e-01,1.095264320591723614e-03
38,14,14,14,7.780000000000000249e-01,7.780000000000000249e-01,7.780000000000000249e-01,3.306555665993395499e-03
39,15,8,8,8.335000000000000187e-01,4.450000000000000067e-01,4.450000000000000067e-01,1.410619364003304170e-02
40,15,11,4,8.335000000000000187e-01,6.115000000000000435e-01,2.230000000000000038e-01,2.881260236927668961e-03
41,15,11,11,8.335000000000000187e-01,6.115000000000000435e-01,6.115000000000000435e-01,1.372636112718213230e-02
42,15,12,4,8.335000000000000187e-01,6.670000000000000373e-01,2.230000000000000038e-01,1.395409099952237691e-02
43,15,12,7,8.335000000000000187e-01,6.670000000000000373e-01,3.895000000000000129e-01,3.402493959409017867e-03
44,15,12,8,8.335000000000000187e-01,6.670000000000000373e-01,4.450000000000000067e-01,6.607014175375272927e-03
45,15,14,1,8.335000000000000187e-01,7.780000000000000249e-01,5.650000000000000161e-02,1.948260435365236536e-03
46,15,14,7,8.335000000000000187e-01,7.780000000000000249e-01,3.895000000000000129e-01,8.583925801436980210e-03
47,15,14,8,8.335000000000000187e-01,7.780000000000000249e-01,4.450000000000000067e-01,7.036022859181960236e-03
48,15,14,11,8.335000000000000187e-01,7.780000000000000249e-01,6.115000000000000435e-01,3.113319573239287444e-03
49,15,15,1,8.335000000000000187e-01,8.335000000000000187e-01,5.650000000000000161e-02,2.966216799016719360e-03
50,15,15,2,8.335000000000000187e-01,8.335000000000000187e-01,1.120000000000000023e-01,1.626791067056074496e-03
51,15,15,3,8.335000000000000187e-01,8.335000000000000187e-01,1.675000000000000100e-01,3.978457296037822208e-03
52,15,15,4,8.335000000000000187e-01,8.335000000000000187e-01,2.230000000000000038e-01,4.094933928365167980e-03
53,15,15,7,8.335000000000000187e-01,8.335000000000000187e-01,3.895000000000000129e-01,7.262471496070788124e-03
54,15,15,11,8.335000000000000187e-01,8.335000000000000187e-01,6.115000000000000435e-01,5.430752149331219761e-03
55,15,15,12,8.335000000000000187e-01,8.335000000000000187e-01,6.670000000000000373e-01,5.796301051598152197e-03
56,15,15,15,8.335000000000000187e-01,8.335000000000000187e-01,8.335000000000000187e-01,1.534345095502985187e-03
57,17,11,7,9.445000000000000062e-01,6.115000000000000435e-01,3.895000000000000129e-01,1.216336164519728549e-02
58,17,11,11,9.445000000000000062e-01,6.115000000000000435e-01,6.115000000000000435e-01,5.070779014829712196e-03
59,17,12,7,9.445000000000000062e-01,6.670000000000000373e-01,3.895000000000000129e-01,3.405916131578358170e-03
60,17,12,8,9.445000000000000062e-01,6.670000000000000373e-01,4.450000000000000067e-01,1.065941507200280497e-02
61,17,12,11,9.445000000000000062e-01,6.670000000000000373e-01,6.115000000000000435e-01,4.555184367478180146e-03
62,17,14,3,9.445000000000000062e-01,7.780000000000000249e-01,1.675000000000000100e-01,1.986103549829171255e-03
63,17,14,4,9.445000000000000062e-01,7.780000000000000249e-01,2.230000000000000038e-01,1.386776307987559222e-03
64,17,14,8,9.445000000000000062e-01,7.780000000000000249e-01,4.450000000000000067e-01,8.647202379803171218e-03
65,17,14,11,9.445000000000000062e-01,7.780000000000000249e-01,6.115000000000000435e-01,7.948011305213678601e-03
66,17,14,14,9.445000000000000062e-01,7.780000000000000249e-01,7.780000000000000249e-01,8.749100275524245452e-04
67,17,15,2,9.445000000000000062e-01,8.335000000000000187e-01,1.120000000000000023e-01,1.069203158251521820e-03
68,17,15,4,9.445000000000000062e-01,8.335000000000000187e-01,2.230000000000000038e-01,1.289990725010848292e-02
69,17,15,7,9.445000000000000062e-01,8.335000000000000187e-01,3.895000000000000129e-01,5.781624883834447434e-03
70,17,15,11,9.445000000000000062e-01,8.335000000000000187e-01,6.115000000000000435e-01,1.034632099104399253e-02
71,17,15,14,9.445000000000000062e-01,8.335000000000000187e-01,7.780000000000000249e-01,7.522940615693436001e-03
72,17,15,15,9.445000000000000062e-01,8.335000000000000187e-01,8.335000000000000187e-01,1.851234270742274082e-03
73,17,17,1,9.445000000000000062e-01,9.445000000000000062e-01,5.650000000000000161e-02,1.953459376787788308e-03
74,17,17,3,9.445000000000000062e-01,9.445000000000000062e-01,1.675000000000000100e-01,3.282427426326567886e-03
75,17,17,4,9.445000000000000062e-01,9.445000000000000062e-01,2.230000000000000038e-01,4.410228183748191987e-04
76,17,17,7,9.445000000000000062e-01,9.445000000000000062e-01,3.895000000000000129e-01,5.620257949858565097e-03
77,17,17,8,9.445000000000000062e-01,9.445000000000000062e-01,4.450000000000000067e-01,2.428469350032728871e-03
78,17,17,11,9.445000000000000062e-01,9.445000000000000062e-01,6.115000000000000435e-01,1.562447227622650991e-03
79,17,17,12,9.445000000000000062e-01,9.445000000000000062e-01,6.670000000000000373e-01,3.706447753760156588e-03
80,17,17,15,9.445000000000000062e-01,9.445000000000000062e-01,8.335000000000000187e-01,2.518424708122314268e-03
81,17,17,17,9.445000000000000062e-01,9.445000000000000062e-01,9.445000000000000062e-01,1.107430900811621653e-03
82,18,11,7,1.000000000000000000e+00,6.115000000000000435e-01,3.895000000000000129e-01,5.356470295651377623e-04
83,18,11,8,1.000000000000000000e+00,6.115000000000000435e-01,4.450000000000000067e-01,1.748703959373333052e-03
84,18,11,11,1.000000000000000000e+00,6.115000000000000435e-01,6.115000000000000435e-01,1.069988735859727985e-03
85,18,12,11,1.000000000000000000e+00,6.670000000000000373e-01,6.115000000000000435e-01,1.428786066374904953e-03
86,18,14,4,1.000000000000000000e+00,7.780000000000000249e-01,2.230000000000000038e-01,7.319111654469686451e-04
87,18,14,14,1.000000000000000000e+00,7.780000000000000249e-01,7.780000000000000249e-01,1.304261666712602146e-03
88,18,15,4,1.000000000000000000e+00,8.335000000000000187e-01,2.230000000000000038e-01,7.262267088638495183e-04
89,18,15,7,1.000000000000000000e+00,8.335000000000000187e-01,3.895000000000000129e-01,4.349553634167038253e-03
90,18,15,11,1.000000000000000000e+00,8.335000000000000187e-01,6.115000000000000435e-01,2.404172491292687081e-03
91,18,15,12,1.000000000000000000e+00,8.335000000000000187e-01,6.670000000000000373e-01,1.760903881113600833e-04
92,18,17,1,1.000000000000000000e+00,9.445000000000000062e-01,5.650000000000000161e-02,6.751828935806302541e-04
93,18,17,4,1.000000000000000000e+00,9.445000000000000062e-01,2.230000000000000038e-01,1.747868628386810112e-03
94,18,17,8,1.000000000000000000e+00,9.445000000000000062e-01,4.450000000000000067e-01,4.127467633629428121e-04
95,18,17,11,1.000000000000000000e+00,9.445000000000000062e-01,6.115000000000000435e-01,2.070164436598642427e-03
96,18,17,14,1.000000000000000000e+00,9.445000000000000062e-01,7.780000000000000249e-01,4.948681787145976785e-04
97,18,17,15,1.000000000000000000e+00,9.445000000000000062e-01,8.335000000000000187e-01,1.758201137803170602e-03
98,18,18,1,1.000000000000000000e+00,1.000000000000000000e+00,5.650000000000000161e-02,1.291119259714326491e-05
99,18,18,3,1.000000000000000000e+00,1.000000000000000000e+00,1.675000000000000100e-01,1.861329140060751842e-04
100,18,18,4,1.000000000000000000e+00,1.000000000000000000e+00,2.230000000000000038e-01,8.065102274683039055e-05
101,18,18,8,1.000000000000000000e+00,1.000000000000000000e+00,4.450000000000000067e-01,3.507155225574937825e-04
102,18,18,15,1.000000000000000000e+00,1.000000000000000000e+00,8.335000000000000187e-01,7.772915369497979880e-05
103,18,18,17,1.000000000000000000e+00,1.000000000000000000e+00,9.445000000000000062e-01,6.812144435220152572e-05
104,18,18,18,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.187803616632599893e-05
