,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,4.070128886443067867e-06
1,1,0,0,3.942307692307692180e-02,1.000000000000000021e-03,1.000000000000000021e-03,4.144928219599438325e-06
2,1,1,0,3.942307692307692180e-02,3.942307692307692180e-02,1.000000000000000021e-03,3.865899549712601183e-05
3,1,1,1,3.942307692307692180e-02,3.942307692307692180e-02,3.942307692307692180e-02,5.369986578580642584e-05
4,2,1,0,7.784615384615384270e-02,3.942307692307692180e-02,1.000000000000000021e-03,8.194813282347232248e-06
5,2,1,1,7.784615384615384270e-02,3.942307692307692180e-02,3.942307692307692180e-02,8.846909742042515727e-05
6,2,2,0,7.784615384615384270e-02,7.784615384615384270e-02,1.000000000000000021e-03,3.857263130356788938e-05
7,2,2,1,7.784615384615384270e-02,7.784615384615384270e-02,3.942307692307692180e-02,1.641479555824568713e-04
8,2,2,2,7.784615384615384270e-02,7.784615384615384270e-02,7.784615384615384270e-02,5.672525028447882110e-05
9,3,1,1,1.162692307692307636e-01,3.942307692307692180e-02,3.942307692307692180e-02,4.181218198468936110e-06
10,3,2,0,1.162692307692307636e-01,7.784615384615384270e-02,1.000000000000000021e-03,8.289090648320042009e-06
11,3,2,1,1.162692307692307636e-01,7.784615384615384270e-02,3.942307692307692180e-02,1.768541280199288298e-04
12,3,2,2,1.162692307692307636e-01,7.784615384615384270e-02,7.784615384615384270e-02,1.671396452824604000e-04
13,3,3,0,1.162692307692307636e-01,1.162692307692307636e-01,1.000000000000000021e-03,3.873174563061589060e-05
14,3,3,1,1.162692307692307636e-01,1.162692307692307636e-01,3.942307692307692180e-02,1.641787573933614739e-04
15,3,3,2,1.162692307692307636e-01,1.162692307692307636e-01,7.784615384615384270e-02,1.701757508534365853e-04
16,3,3,3,1.162692307692307636e-01,1.162692307692307636e-01,1.162692307692307636e-01,5.672525028447888208e-05
17,4,2,1,1.546923076923076845e-01,7.784615384615384270e-02,3.942307692307692180e-02,8.245015128848992634e-06
18,4,2,2,1.546923076923076845e-01,7.784615384615384270e-02,7.784615384615384270e-02,8.856933093767778637e-05
19,4,3,0,1.546923076923076845e-01,1.162692307692307636e-01,1.000000000000000021e-03,8.275306412500906656e-06
20,4,3,1,1.546923076923076845e-01,1.162692307692307636e-01,3.942307692307692180e-02,1.770882898531030223e-04
21,4,3,2,1.546923076923076845e-01,1.162692307692307636e-01,7.784615384615384270e-02,3.342074763980603714e-04
22,4,3,3,1.546923076923076845e-01,1.162692307692307636e-01,1.162692307692307636e-01,1.701757508534364768e-04
23,4,4,0,1.546923076923076845e-01,1.546923076923076845e-01,1.000000000000000021e-03,3.863185246486484155e-05
24,4,4,1,1.546923076923076845e-01,1.546923076923076845e-01,3.942307692307692180e-02,1.641025186569787834e-04
25,4,4,2,1.546923076923076845e-01,1.546923076923076845e-01,7.784615384615384270e-02,1.701757508534362329e-04
26,4,4,3,1.546923076923076845e-01,1.546923076923076845e-01,1.162692307692307636e-01,1.701757508534362871e-04
27,4,4,4,1.546923076923076845e-01,1.546923076923076845e-01,1.546923076923076845e-01,5.672525028447870590e-05
28,5,2,2,1.931153846153846054e-01,7.784615384615384270e-02,7.784615384615384270e-02,4.167944489902369043e-06
29,5,3,1,1.931153846153846054e-01,1.162692307692307636e-01,3.942307692307692180e-02,8.206215057654422923e-06
30,5,3,2,1.931153846153846054e-01,1.162692307692307636e-01,7.784615384615384270e-02,1.766825908630686504e-04
31,5,3,3,1.931153846153846054e-01,1.162692307692307636e-01,1.162692307692307636e-01,1.671166715560953506e-04
32,5,4,0,1.931153846153846054e-01,1.546923076923076845e-01,1.000000000000000021e-03,8.194983458098084955e-06
33,5,4,1,1.931153846153846054e-01,1.546923076923076845e-01,3.942307692307692180e-02,1.765314747963105926e-04
34,5,4,2,1.931153846153846054e-01,1.546923076923076845e-01,7.784615384615384270e-02,3.344222381956374400e-04
35,5,4,3,1.931153846153846054e-01,1.546923076923076845e-01,1.162692307692307636e-01,3.403515017068730621e-04
36,5,4,4,1.931153846153846054e-01,1.546923076923076845e-01,1.546923076923076845e-01,1.701757508534363413e-04
37,5,5,0,1.931153846153846054e-01,1.931153846153846054e-01,1.000000000000000021e-03,3.872144999768928233e-05
38,5,5,1,1.931153846153846054e-01,1.931153846153846054e-01,3.942307692307692180e-02,1.641659942120475937e-04
39,5,5,2,1.931153846153846054e-01,1.931153846153846054e-01,7.784615384615384270e-02,1.701757508534367208e-04
40,5,5,3,1.931153846153846054e-01,1.931153846153846054e-01,1.162692307692307636e-01,1.701757508534367750e-04
41,5,5,4,1.931153846153846054e-01,1.931153846153846054e-01,1.546923076923076845e-01,1.701757508534365853e-04
42,5,5,5,1.931153846153846054e-01,1.931153846153846054e-01,1.931153846153846054e-01,5.672525028447894307e-05
43,6,3,2,2.315384615384615263e-01,1.162692307692307636e-01,7.784615384615384270e-02,8.259650243422401688e-06
44,6,3,3,2.315384615384615263e-01,1.162692307692307636e-01,1.162692307692307636e-01,8.843029734923071969e-05
45,6,4,1,2.315384615384615263e-01,1.546923076923076845e-01,3.942307692307692180e-02,8.345759173354230681e-06
46,6,4,2,2.315384615384615263e-01,1.546923076923076845e-01,7.784615384615384270e-02,1.768575315349457688e-04
47,6,4,3,2.315384615384615263e-01,1.546923076923076845e-01,1.162692307692307636e-01,3.343749293369003704e-04
48,6,4,4,2.315384615384615263e-01,1.546923076923076845e-01,1.546923076923076845e-01,1.701757508534363413e-04
49,6,5,0,2.315384615384615263e-01,1.931153846153846054e-01,1.000000000000000021e-03,8.239229153319992119e-06
50,6,5,1,2.315384615384615263e-01,1.931153846153846054e-01,3.942307692307692180e-02,1.771206232457654738e-04
51,6,5,2,2.315384615384615263e-01,1.931153846153846054e-01,7.784615384615384270e-02,3.343408941867300594e-04
