,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,2.101528859942988788e-05
1,3,2,1,1.043448275862068897e-01,6.989655172413793138e-02,3.544827586206896614e-02,6.070279532310119200e-04
2,3,2,2,1.043448275862068897e-01,6.989655172413793138e-02,6.989655172413793138e-02,4.725254648368897438e-04
3,4,2,2,1.387931034482758619e-01,6.989655172413793138e-02,6.989655172413793138e-02,7.882083801624265897e-04
4,5,5,5,1.732413793103448341e-01,1.732413793103448341e-01,1.732413793103448341e-01,1.913206235333158537e-03
5,6,6,2,2.076896551724137785e-01,2.076896551724137785e-01,6.989655172413793138e-02,4.347151508469451926e-03
6,6,6,6,2.076896551724137785e-01,2.076896551724137785e-01,2.076896551724137785e-01,2.145097157349524792e-03
7,7,6,1,2.421379310344827507e-01,2.076896551724137785e-01,3.544827586206896614e-02,4.098990035853596297e-04
8,9,7,2,3.110344827586206673e-01,2.421379310344827507e-01,6.989655172413793138e-02,3.097206170484602481e-03
9,10,6,6,3.454827586206896672e-01,2.076896551724137785e-01,2.076896551724137785e-01,4.115410392087737179e-03
10,11,6,6,3.799310344827586117e-01,2.076896551724137785e-01,2.076896551724137785e-01,3.498703652698091898e-03
11,11,7,6,3.799310344827586117e-01,2.421379310344827507e-01,2.076896551724137785e-01,3.815208954411635715e-03
12,11,11,5,3.799310344827586117e-01,3.799310344827586117e-01,1.732413793103448341e-01,9.747332260472925392e-03
13,11,11,6,3.799310344827586117e-01,3.799310344827586117e-01,2.076896551724137785e-01,5.864392724489430643e-03
14,11,11,11,3.799310344827586117e-01,3.799310344827586117e-01,3.799310344827586117e-01,8.740439660869644620e-03
15,12,11,2,4.143793103448275561e-01,3.799310344827586117e-01,6.989655172413793138e-02,7.076652936801469413e-04
16,12,12,2,4.143793103448275561e-01,4.143793103448275561e-01,6.989655172413793138e-02,3.347001762013396883e-03
17,13,11,2,4.488275862068965560e-01,3.799310344827586117e-01,6.989655172413793138e-02,1.255480319367542185e-03
18,13,12,1,4.488275862068965560e-01,4.143793103448275561e-01,3.544827586206896614e-02,1.279625243655260411e-03
19,16,11,6,5.521724137931034448e-01,3.799310344827586117e-01,2.076896551724137785e-01,4.925740536884611921e-03
20,16,12,6,5.521724137931034448e-01,4.143793103448275561e-01,2.076896551724137785e-01,1.485959375693590365e-02
21,16,16,11,5.521724137931034448e-01,5.521724137931034448e-01,3.799310344827586117e-01,7.833245121343848996e-03
22,16,16,16,5.521724137931034448e-01,5.521724137931034448e-01,5.521724137931034448e-01,2.345104328131716442e-03
23,17,11,6,5.866206896551724448e-01,3.799310344827586117e-01,2.076896551724137785e-01,2.745569493426975715e-03
24,17,11,11,5.866206896551724448e-01,3.799310344827586117e-01,3.799310344827586117e-01,2.081325964057700179e-02
25,17,12,6,5.866206896551724448e-01,4.143793103448275561e-01,2.076896551724137785e-01,1.456250789794340901e-03
26,17,16,1,5.866206896551724448e-01,5.521724137931034448e-01,3.544827586206896614e-02,1.241867220289347758e-04
27,17,16,11,5.866206896551724448e-01,5.521724137931034448e-01,3.799310344827586117e-01,7.623947650540327178e-03
28,17,16,16,5.866206896551724448e-01,5.521724137931034448e-01,5.521724137931034448e-01,3.868611118930029551e-03
29,17,17,2,5.866206896551724448e-01,5.866206896551724448e-01,6.989655172413793138e-02,4.609542826155551415e-03
30,17,17,5,5.866206896551724448e-01,5.866206896551724448e-01,1.732413793103448341e-01,5.321002797804757828e-04
31,17,17,6,5.866206896551724448e-01,5.866206896551724448e-01,2.076896551724137785e-01,1.662507829949922897e-02
32,18,16,2,6.210689655172413337e-01,5.521724137931034448e-01,6.989655172413793138e-02,2.536116136105637762e-03
33,18,17,1,6.210689655172413337e-01,5.866206896551724448e-01,3.544827586206896614e-02,6.664670401966602236e-06
34,21,16,11,7.244137931034482225e-01,5.521724137931034448e-01,3.799310344827586117e-01,6.453389027770162385e-03
35,21,16,16,7.244137931034482225e-01,5.521724137931034448e-01,5.521724137931034448e-01,1.623234712578885616e-02
36,21,17,6,7.244137931034482225e-01,5.866206896551724448e-01,2.076896551724137785e-01,6.822085882273244348e-03
37,21,17,11,7.244137931034482225e-01,5.866206896551724448e-01,3.799310344827586117e-01,9.478469619178584923e-03
