,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,2.457108259276576570e-05
1,1,0,0,7.235714285714285599e-02,1.000000000000000021e-03,1.000000000000000021e-03,2.473266865644298571e-05
2,1,1,0,7.235714285714285599e-02,7.235714285714285599e-02,1.000000000000000021e-03,2.385397256214576015e-04
3,1,1,1,7.235714285714285599e-02,7.235714285714285599e-02,7.235714285714285599e-02,3.424799043100621885e-04
4,2,1,0,1.437142857142857111e-01,7.235714285714285599e-02,1.000000000000000021e-03,4.919708391851215741e-05
5,2,1,1,1.437142857142857111e-01,7.235714285714285599e-02,7.235714285714285599e-02,5.558264832317885012e-04
6,2,2,0,1.437142857142857111e-01,1.437142857142857111e-01,1.000000000000000021e-03,2.385759142142782399e-04
7,2,2,1,1.437142857142857111e-01,1.437142857142857111e-01,7.235714285714285599e-02,1.048330995159231808e-03
8,2,2,2,1.437142857142857111e-01,1.437142857142857111e-01,1.437142857142857111e-01,3.633392853498540009e-04
9,3,1,1,2.150714285714285801e-01,7.235714285714285599e-02,7.235714285714285599e-02,2.467190016096824400e-05
10,3,2,0,2.150714285714285801e-01,1.437142857142857111e-01,1.000000000000000021e-03,4.949967287535154888e-05
11,3,2,1,2.150714285714285801e-01,1.437142857142857111e-01,7.235714285714285599e-02,1.114030513411192694e-03
12,3,2,2,2.150714285714285801e-01,1.437142857142857111e-01,1.437142857142857111e-01,1.069169302520473755e-03
13,3,3,0,2.150714285714285801e-01,2.150714285714285801e-01,1.000000000000000021e-03,2.384883857804377845e-04
14,3,3,1,2.150714285714285801e-01,2.150714285714285801e-01,7.235714285714285599e-02,1.048256873945022051e-03
15,3,3,2,2.150714285714285801e-01,2.150714285714285801e-01,1.437142857142857111e-01,1.090017856049563683e-03
16,3,3,3,2.150714285714285801e-01,2.150714285714285801e-01,2.150714285714285801e-01,3.633392853498548141e-04
17,4,2,1,2.864285714285714213e-01,1.437142857142857111e-01,7.235714285714285599e-02,4.937214078619368493e-05
18,4,2,2,2.864285714285714213e-01,1.437142857142857111e-01,1.437142857142857111e-01,5.563642980419624762e-04
19,4,3,0,2.864285714285714213e-01,2.150714285714285801e-01,1.000000000000000021e-03,4.955439177172519589e-05
20,4,3,1,2.864285714285714213e-01,2.150714285714285801e-01,7.235714285714285599e-02,1.113160243154921736e-03
21,4,3,2,2.864285714285714213e-01,2.150714285714285801e-01,1.437142857142857111e-01,2.138260995769595586e-03
22,4,3,3,2.864285714285714213e-01,2.150714285714285801e-01,2.150714285714285801e-01,1.090017856049562816e-03
23,4,4,0,2.864285714285714213e-01,2.864285714285714213e-01,1.000000000000000021e-03,2.383427593948689034e-04
24,4,4,1,2.864285714285714213e-01,2.864285714285714213e-01,7.235714285714285599e-02,1.048348435444926806e-03
25,4,4,2,2.864285714285714213e-01,2.864285714285714213e-01,1.437142857142857111e-01,1.090017856049560431e-03
