,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,5.466641624414796292e-05
1,2,2,1,1.061578947368421039e-01,1.061578947368421039e-01,5.357894736842105238e-02,7.604627202980464122e-04
2,2,2,2,1.061578947368421039e-01,1.061578947368421039e-01,1.061578947368421039e-01,7.760964623931054579e-04
3,3,2,1,1.587368421052631484e-01,1.061578947368421039e-01,5.357894736842105238e-02,1.924588113868122476e-03
4,4,4,4,2.113157894736842068e-01,2.113157894736842068e-01,2.113157894736842068e-01,4.908000069355515291e-03
5,5,4,1,2.638947368421052375e-01,2.113157894736842068e-01,5.357894736842105238e-02,1.871161193078687245e-03
6,5,5,2,2.638947368421052375e-01,2.638947368421052375e-01,1.061578947368421039e-01,6.019445927308442711e-03
7,6,5,1,3.164736842105262959e-01,2.638947368421052375e-01,5.357894736842105238e-02,1.955534249188089525e-03
8,7,5,2,3.690526315789473544e-01,2.638947368421052375e-01,1.061578947368421039e-01,2.217246189489901174e-03
9,8,5,4,4.216315789473684128e-01,2.638947368421052375e-01,2.113157894736842068e-01,9.415462479605608143e-03
10,8,5,5,4.216315789473684128e-01,2.638947368421052375e-01,2.638947368421052375e-01,8.816304568567467914e-03
11,8,8,4,4.216315789473684128e-01,4.216315789473684128e-01,2.113157894736842068e-01,1.577348878359221065e-02
12,8,8,8,4.216315789473684128e-01,4.216315789473684128e-01,4.216315789473684128e-01,8.386165360564114268e-03
13,9,8,1,4.742105263157894712e-01,4.216315789473684128e-01,5.357894736842105238e-02,2.720786419074568228e-03
14,9,8,8,4.742105263157894712e-01,4.216315789473684128e-01,4.216315789473684128e-01,3.228984748614432444e-03
15,9,9,2,4.742105263157894712e-01,4.742105263157894712e-01,1.061578947368421039e-01,7.977235898558181909e-03
16,9,9,5,4.742105263157894712e-01,4.742105263157894712e-01,2.638947368421052375e-01,1.146081799316542608e-03
17,10,9,1,5.267894736842104741e-01,4.742105263157894712e-01,5.357894736842105238e-02,1.859072256739590550e-03
18,12,8,4,6.319473684210525910e-01,4.216315789473684128e-01,2.113157894736842068e-01,5.631799870508749119e-03
19,12,8,5,6.319473684210525910e-01,4.216315789473684128e-01,2.638947368421052375e-01,4.071411188310462316e-03
20,12,8,8,6.319473684210525910e-01,4.216315789473684128e-01,4.216315789473684128e-01,1.088293773377697025e-02
21,12,9,5,6.319473684210525910e-01,4.742105263157894712e-01,2.638947368421052375e-01,2.809182379114623027e-02
22,12,9,8,6.319473684210525910e-01,4.742105263157894712e-01,4.216315789473684128e-01,8.261171454383405346e-03
23,12,10,2,6.319473684210525910e-01,5.267894736842104741e-01,1.061578947368421039e-01,1.171185512468740988e-03
