,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,9.963191172553732301e-04
1,1,0,0,2.507499999999999729e-01,1.000000000000000021e-03,1.000000000000000021e-03,9.976580611266866200e-04
2,1,1,0,2.507499999999999729e-01,2.507499999999999729e-01,1.000000000000000021e-03,9.873610453093583164e-03
3,1,1,1,2.507499999999999729e-01,2.507499999999999729e-01,2.507499999999999729e-01,1.462882871936157202e-02
4,2,1,0,5.004999999999999449e-01,2.507499999999999729e-01,1.000000000000000021e-03,1.992432602642202778e-03
5,2,1,1,5.004999999999999449e-01,2.507499999999999729e-01,2.507499999999999729e-01,2.350965785802905036e-02
6,2,2,0,5.004999999999999449e-01,5.004999999999999449e-01,1.000000000000000021e-03,9.884522962481077230e-03
7,2,2,1,5.004999999999999449e-01,5.004999999999999449e-01,2.507499999999999729e-01,4.483946835904450284e-02
8,2,2,2,5.004999999999999449e-01,5.004999999999999449e-01,5.004999999999999449e-01,1.557817185937500522e-02
9,3,1,1,7.502499999999999725e-01,2.507499999999999729e-01,2.507499999999999729e-01,9.983053341674433950e-04
10,3,2,0,7.502499999999999725e-01,5.004999999999999449e-01,1.000000000000000021e-03,1.992946682313561767e-03
11,3,2,1,7.502499999999999725e-01,5.004999999999999449e-01,2.507499999999999729e-01,4.703150407772085928e-02
12,3,2,2,7.502499999999999725e-01,5.004999999999999449e-01,5.004999999999999449e-01,4.578587968711397838e-02
13,3,3,0,7.502499999999999725e-01,7.502499999999999725e-01,1.000000000000000021e-03,9.885354836858359362e-03
14,3,3,1,7.502499999999999725e-01,7.502499999999999725e-01,2.507499999999999729e-01,4.482946717271074633e-02
15,3,3,2,7.502499999999999725e-01,7.502499999999999725e-01,5.004999999999999449e-01,4.673451557812497575e-02
16,3,3,3,7.502499999999999725e-01,7.502499999999999725e-01,7.502499999999999725e-01,1.557817185937498440e-02
17,4,2,1,1.000000000000000000e+00,5.004999999999999449e-01,2.507499999999999729e-01,1.994236554943519882e-03
18,4,2,2,1.000000000000000000e+00,5.004999999999999449e-01,5.004999999999999449e-01,1.662153705564569858e-02
19,4,3,0,1.000000000000000000e+00,7.502499999999999725e-01,1.000000000000000021e-03,1.993605638983214287e-03
20,4,3,1,1.000000000000000000e+00,7.502499999999999725e-01,2.507499999999999729e-01,3.324581275390425805e-02
21,4,3,2,1.000000000000000000e+00,7.502499999999999725e-01,5.004999999999999449e-01,4.673451557812501739e-02
22,4,3,3,1.000000000000000000e+00,7.502499999999999725e-01,7.502499999999999725e-01,2.336725778906249829e-02
23,4,4,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,3.941997970870374582e-03
24,4,4,1,1.000000000000000000e+00,1.000000000000000000e+00,2.507499999999999729e-01,1.168362889453126302e-02
25,4,4,2,1.000000000000000000e+00,1.000000000000000000e+00,5.004999999999999449e-01,1.168362889453126476e-02
26,4,4,3,1.000000000000000000e+00,1.000000000000000000e+00,7.502499999999999725e-01,1.168362889453125955e-02
27,4,4,4,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.947271482421878254e-03
