,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,7.597976415684775601e-05
1,1,1,0,1.009000000000000036e-01,1.009000000000000036e-01,1.000000000000000021e-03,2.070021460089680398e-04
2,1,1,1,1.009000000000000036e-01,1.009000000000000036e-01,1.009000000000000036e-01,2.715233565381391066e-03
3,2,2,0,2.008000000000000063e-01,2.008000000000000063e-01,1.000000000000000021e-03,6.168125019366358123e-04
4,3,2,1,3.007000000000000228e-01,2.008000000000000063e-01,1.009000000000000036e-01,5.405563492123993848e-03
5,3,2,2,3.007000000000000228e-01,2.008000000000000063e-01,2.008000000000000063e-01,8.915929300218002757e-03
6,3,3,1,3.007000000000000228e-01,3.007000000000000228e-01,1.009000000000000036e-01,1.048128130165800961e-02
7,3,3,3,3.007000000000000228e-01,3.007000000000000228e-01,3.007000000000000228e-01,1.966045877456245282e-03
8,5,3,3,5.004999999999999449e-01,3.007000000000000228e-01,3.007000000000000228e-01,2.567805917585825118e-02
9,5,4,1,5.004999999999999449e-01,4.006000000000000116e-01,1.009000000000000036e-01,2.797367410956274909e-03
10,5,5,0,5.004999999999999449e-01,5.004999999999999449e-01,1.000000000000000021e-03,1.241838148657663536e-03
11,5,5,1,5.004999999999999449e-01,5.004999999999999449e-01,1.009000000000000036e-01,1.199623954923269807e-02
12,5,5,2,5.004999999999999449e-01,5.004999999999999449e-01,2.008000000000000063e-01,2.816330533451985845e-03
13,5,5,3,5.004999999999999449e-01,5.004999999999999449e-01,3.007000000000000228e-01,3.526209065416102684e-02
14,5,5,5,5.004999999999999449e-01,5.004999999999999449e-01,5.004999999999999449e-01,3.892050735887646155e-03
15,6,5,1,6.004000000000000448e-01,5.004999999999999449e-01,1.009000000000000036e-01,3.203909643428493222e-03
16,7,4,4,7.003000000000000336e-01,4.006000000000000116e-01,4.006000000000000116e-01,1.292794597960255851e-02
17,7,5,2,7.003000000000000336e-01,5.004999999999999449e-01,2.008000000000000063e-01,1.525494283632622405e-02
18,7,5,4,7.003000000000000336e-01,5.004999999999999449e-01,4.006000000000000116e-01,1.190314318639514209e-02
19,7,5,5,7.003000000000000336e-01,5.004999999999999449e-01,5.004999999999999449e-01,5.213970965692115746e-03
20,7,7,1,7.003000000000000336e-01,7.003000000000000336e-01,1.009000000000000036e-01,2.530276486742664976e-03
21,7,7,2,7.003000000000000336e-01,7.003000000000000336e-01,2.008000000000000063e-01,3.219707980050461049e-02
22,7,7,4,7.003000000000000336e-01,7.003000000000000336e-01,4.006000000000000116e-01,3.830239191202098898e-03
23,7,7,5,7.003000000000000336e-01,7.003000000000000336e-01,5.004999999999999449e-01,5.184953542770369406e-02
24,8,4,4,8.002000000000000224e-01,4.006000000000000116e-01,4.006000000000000116e-01,1.738680531099366568e-03
25,8,5,4,8.002000000000000224e-01,5.004999999999999449e-01,4.006000000000000116e-01,1.491395313942869144e-02
26,8,7,1,8.002000000000000224e-01,7.003000000000000336e-01,1.009000000000000036e-01,1.303740809377150001e-03
27,8,7,2,8.002000000000000224e-01,7.003000000000000336e-01,2.008000000000000063e-01,3.267078216523589072e-03
28,8,8,0,8.002000000000000224e-01,8.002000000000000224e-01,1.000000000000000021e-03,1.830573709339617262e-03
29,8,8,1,8.002000000000000224e-01,8.002000000000000224e-01,1.009000000000000036e-01,2.016038050219401932e-03
30,9,5,5,9.001000000000000112e-01,5.004999999999999449e-01,5.004999999999999449e-01,1.341220332586786496e-02
31,9,7,2,9.001000000000000112e-01,7.003000000000000336e-01,2.008000000000000063e-01,1.353385887518623355e-02
32,9,7,3,9.001000000000000112e-01,7.003000000000000336e-01,3.007000000000000228e-01,1.644138992545797788e-03
