,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,3.051086709576290832e-05
1,1,0,0,7.784615384615384270e-02,1.000000000000000021e-03,1.000000000000000021e-03,3.064844851780288310e-05
2,1,1,0,7.784615384615384270e-02,7.784615384615384270e-02,1.000000000000000021e-03,2.969079469042021921e-04
3,1,1,1,7.784615384615384270e-02,7.784615384615384270e-02,7.784615384615384270e-02,4.276611917367336107e-04
4,2,1,0,1.546923076923076845e-01,7.784615384615384270e-02,1.000000000000000021e-03,6.139995547032259802e-05
5,2,1,1,1.546923076923076845e-01,7.784615384615384270e-02,7.784615384615384270e-02,6.938939384950986973e-04
6,2,2,0,1.546923076923076845e-01,1.546923076923076845e-01,1.000000000000000021e-03,2.971011304165710161e-04
7,2,2,1,1.546923076923076845e-01,1.546923076923076845e-01,7.784615384615384270e-02,1.308899572237370206e-03
8,2,2,2,1.546923076923076845e-01,1.546923076923076845e-01,1.546923076923076845e-01,4.538020022758305688e-04
9,3,1,1,2.315384615384615263e-01,7.784615384615384270e-02,7.784615384615384270e-02,3.057608978854001994e-05
10,3,2,0,2.315384615384615263e-01,1.546923076923076845e-01,1.000000000000000021e-03,6.116116485672509263e-05
11,3,2,1,2.315384615384615263e-01,1.546923076923076845e-01,7.784615384615384270e-02,1.388333528517734844e-03
12,3,2,2,2.315384615384615263e-01,1.546923076923076845e-01,1.546923076923076845e-01,1.335296417866151976e-03
13,3,3,0,2.315384615384615263e-01,2.315384615384615263e-01,1.000000000000000021e-03,2.964947601811302944e-04
14,3,3,1,2.315384615384615263e-01,2.315384615384615263e-01,7.784615384615384270e-02,1.308814075940142570e-03
15,3,3,2,2.315384615384615263e-01,2.315384615384615263e-01,1.546923076923076845e-01,1.361406006827492682e-03
16,3,3,3,2.315384615384615263e-01,2.315384615384615263e-01,2.315384615384615263e-01,4.538020022758310567e-04
17,4,2,1,3.083846153846153681e-01,1.546923076923076845e-01,7.784615384615384270e-02,6.164337486434332144e-05
18,4,2,2,3.083846153846153681e-01,1.546923076923076845e-01,1.546923076923076845e-01,6.936096769208728498e-04
19,4,3,0,3.083846153846153681e-01,2.315384615384615263e-01,1.000000000000000021e-03,6.146857033306669146e-05
20,4,3,1,3.083846153846153681e-01,2.315384615384615263e-01,7.784615384615384270e-02,1.387568962904299312e-03
21,4,3,2,3.083846153846153681e-01,2.315384615384615263e-01,1.546923076923076845e-01,2.670197483427919245e-03
22,4,3,3,3.083846153846153681e-01,2.315384615384615263e-01,2.315384615384615263e-01,1.361406006827491815e-03
23,4,4,0,3.083846153846153681e-01,3.083846153846153681e-01,1.000000000000000021e-03,2.967615957584678272e-04
24,4,4,1,3.083846153846153681e-01,3.083846153846153681e-01,7.784615384615384270e-02,1.308648256688508269e-03
25,4,4,2,3.083846153846153681e-01,3.083846153846153681e-01,1.546923076923076845e-01,1.361406006827489863e-03
26,4,4,3,3.083846153846153681e-01,3.083846153846153681e-01,2.315384615384615263e-01,1.361406006827490297e-03
27,4,4,4,3.083846153846153681e-01,3.083846153846153681e-01,3.083846153846153681e-01,4.538020022758296472e-04
28,5,2,2,3.852307692307692100e-01,1.546923076923076845e-01,1.546923076923076845e-01,3.061938249955713974e-05
29,5,3,1,3.852307692307692100e-01,2.315384615384615263e-01,7.784615384615384270e-02,6.071271771807615748e-05
30,5,3,2,3.852307692307692100e-01,2.315384615384615263e-01,1.546923076923076845e-01,1.387575497653134246e-03
31,5,3,3,3.852307692307692100e-01,2.315384615384615263e-01,2.315384615384615263e-01,1.335201664008078175e-03
32,5,4,0,3.852307692307692100e-01,3.083846153846153681e-01,1.000000000000000021e-03,6.127797349211085978e-05
33,5,4,1,3.852307692307692100e-01,3.083846153846153681e-01,7.784615384615384270e-02,1.388601453219877584e-03
34,5,4,2,3.852307692307692100e-01,3.083846153846153681e-01,1.546923076923076845e-01,2.670263375478650319e-03
