,i1,i2,i3,k1,k2,k3,weight
0,1,1,1,4.096000000000000335e-02,4.096000000000000335e-02,4.096000000000000335e-02,2.231309615258501649e-04
1,2,2,1,8.092000000000000581e-02,8.092000000000000581e-02,4.096000000000000335e-02,2.811603520883283530e-04
2,2,2,2,8.092000000000000581e-02,8.092000000000000581e-02,8.092000000000000581e-02,4.911825146310737052e-04
3,4,4,1,1.608400000000000107e-01,1.608400000000000107e-01,4.096000000000000335e-02,1.954228895567933309e-03
4,5,4,4,2.008000000000000063e-01,1.608400000000000107e-01,1.608400000000000107e-01,2.675177773643005281e-04
5,5,5,2,2.008000000000000063e-01,2.008000000000000063e-01,8.092000000000000581e-02,3.212119337847642916e-03
6,6,4,4,2.407600000000000295e-01,1.608400000000000107e-01,1.608400000000000107e-01,1.687258455529231163e-03
7,7,4,4,2.807200000000000251e-01,1.608400000000000107e-01,1.608400000000000107e-01,4.374315461428631563e-03
8,8,4,4,3.206800000000000206e-01,1.608400000000000107e-01,1.608400000000000107e-01,1.351347521948756056e-03
9,8,8,4,3.206800000000000206e-01,3.206800000000000206e-01,1.608400000000000107e-01,2.387179453594509299e-03
10,8,8,5,3.206800000000000206e-01,3.206800000000000206e-01,2.008000000000000063e-01,3.883580976491771315e-03
11,8,8,8,3.206800000000000206e-01,3.206800000000000206e-01,3.206800000000000206e-01,5.282567642061050325e-03
12,9,5,5,3.606400000000000161e-01,2.008000000000000063e-01,2.008000000000000063e-01,6.551648589329772242e-04
13,9,8,4,3.606400000000000161e-01,3.206800000000000206e-01,1.608400000000000107e-01,2.801237116369718807e-03
14,9,9,1,3.606400000000000161e-01,3.606400000000000161e-01,4.096000000000000335e-02,4.279059750409497549e-03
15,9,9,4,3.606400000000000161e-01,3.606400000000000161e-01,1.608400000000000107e-01,4.924766893332732133e-03
16,12,9,4,4.805200000000000582e-01,3.606400000000000161e-01,1.608400000000000107e-01,1.112430807473346016e-02
17,13,8,8,5.204800000000000537e-01,3.206800000000000206e-01,3.206800000000000206e-01,1.296490622782432711e-02
18,13,9,4,5.204800000000000537e-01,3.606400000000000161e-01,1.608400000000000107e-01,3.732939584766891816e-03
19,13,9,8,5.204800000000000537e-01,3.606400000000000161e-01,3.206800000000000206e-01,5.777690614370449736e-03
20,13,10,4,5.204800000000000537e-01,4.006000000000000116e-01,1.608400000000000107e-01,2.853534113416785530e-03
21,13,13,8,5.204800000000000537e-01,5.204800000000000537e-01,3.206800000000000206e-01,2.428070338180379761e-02
22,13,13,12,5.204800000000000537e-01,5.204800000000000537e-01,4.805200000000000582e-01,3.995535868814792391e-03
23,13,13,13,5.204800000000000537e-01,5.204800000000000537e-01,5.204800000000000537e-01,2.820645393798918484e-03
24,14,14,1,5.604400000000000492e-01,5.604400000000000492e-01,4.096000000000000335e-02,2.555984838474109882e-03
25,14,14,2,5.604400000000000492e-01,5.604400000000000492e-01,8.092000000000000581e-02,4.519254340760970549e-04
26,14,14,3,5.604400000000000492e-01,5.604400000000000492e-01,1.208800000000000152e-01,7.007936157893821481e-03
27,14,14,4,5.604400000000000492e-01,5.604400000000000492e-01,1.608400000000000107e-01,5.731508678598088921e-03
28,17,9,9,6.803200000000000358e-01,3.606400000000000161e-01,3.606400000000000161e-01,3.663128321117712152e-03
29,17,13,8,6.803200000000000358e-01,5.204800000000000537e-01,3.206800000000000206e-01,6.306202612664067383e-03
30,17,13,13,6.803200000000000358e-01,5.204800000000000537e-01,5.204800000000000537e-01,6.158590138971800458e-03
