,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,6.608099681986809456e-05
1,1,1,0,1.675000000000000100e-01,1.675000000000000100e-01,1.000000000000000021e-03,2.964637341785181755e-03
2,1,1,1,1.675000000000000100e-01,1.675000000000000100e-01,1.675000000000000100e-01,8.335701850811840299e-03
3,2,1,1,3.340000000000000191e-01,1.675000000000000100e-01,1.675000000000000100e-01,4.084812418831758503e-03
4,2,2,1,3.340000000000000191e-01,3.340000000000000191e-01,1.675000000000000100e-01,1.321370609515778484e-02
5,3,2,1,5.005000000000000560e-01,3.340000000000000191e-01,1.675000000000000100e-01,1.376981512840674653e-02
6,3,2,2,5.005000000000000560e-01,3.340000000000000191e-01,3.340000000000000191e-01,2.427153403752873792e-02
7,3,3,0,5.005000000000000560e-01,5.005000000000000560e-01,1.000000000000000021e-03,3.023913496062290238e-03
8,3,3,1,5.005000000000000560e-01,5.005000000000000560e-01,1.675000000000000100e-01,3.250289910801071325e-02
9,3,3,3,5.005000000000000560e-01,5.005000000000000560e-01,5.005000000000000560e-01,2.066756377528244926e-02
10,4,3,1,6.670000000000000373e-01,5.005000000000000560e-01,1.675000000000000100e-01,9.669475712251823785e-03
11,4,3,2,6.670000000000000373e-01,5.005000000000000560e-01,3.340000000000000191e-01,2.387085805935068583e-02
12,4,4,0,6.670000000000000373e-01,6.670000000000000373e-01,1.000000000000000021e-03,3.934914280669264057e-04
13,4,4,1,6.670000000000000373e-01,6.670000000000000373e-01,1.675000000000000100e-01,8.407495853534513106e-03
14,4,4,2,6.670000000000000373e-01,6.670000000000000373e-01,3.340000000000000191e-01,9.400551665882297264e-03
15,4,4,3,6.670000000000000373e-01,6.670000000000000373e-01,5.005000000000000560e-01,8.852979511888852890e-03
16,4,4,4,6.670000000000000373e-01,6.670000000000000373e-01,6.670000000000000373e-01,1.175869225415842809e-02
17,5,3,2,8.335000000000000187e-01,5.005000000000000560e-01,3.340000000000000191e-01,7.385142695047599258e-03
18,5,3,3,8.335000000000000187e-01,5.005000000000000560e-01,5.005000000000000560e-01,5.448159523066398863e-02
19,5,4,1,8.335000000000000187e-01,6.670000000000000373e-01,1.675000000000000100e-01,1.385320619415612159e-02
20,5,4,2,8.335000000000000187e-01,6.670000000000000373e-01,3.340000000000000191e-01,3.595783188196945840e-02
21,5,5,0,8.335000000000000187e-01,8.335000000000000187e-01,1.000000000000000021e-03,2.357826060332717053e-03
22,5,5,1,8.335000000000000187e-01,8.335000000000000187e-01,1.675000000000000100e-01,3.143432599967072721e-02
23,5,5,3,8.335000000000000187e-01,8.335000000000000187e-01,5.005000000000000560e-01,6.622336434978330633e-02
24,5,5,5,8.335000000000000187e-01,8.335000000000000187e-01,8.335000000000000187e-01,2.097580203062605897e-02
25,6,3,3,1.000000000000000000e+00,5.005000000000000560e-01,5.005000000000000560e-01,4.925749630053350737e-03
26,6,4,4,1.000000000000000000e+00,6.670000000000000373e-01,6.670000000000000373e-01,1.517278568823628507e-02
27,6,5,1,1.000000000000000000e+00,8.335000000000000187e-01,1.675000000000000100e-01,5.332834530549106222e-03
28,6,5,2,1.000000000000000000e+00,8.335000000000000187e-01,3.340000000000000191e-01,2.062177753661831661e-02
29,6,5,3,1.000000000000000000e+00,8.335000000000000187e-01,5.005000000000000560e-01,7.075115520686760945e-03
30,6,5,4,1.000000000000000000e+00,8.335000000000000187e-01,6.670000000000000373e-01,2.736577265809491191e-03
31,6,5,5,1.000000000000000000e+00,8.335000000000000187e-01,8.335000000000000187e-01,6.510464152319407616e-03
32,6,6,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,4.449453193215172292e-04
33,6,6,1,1.000000000000000000e+00,1.000000000000000000e+00,1.675000000000000100e-01,2.765947389298091096e-03
34,6,6,3,1.000000000000000000e+00,1.000000000000000000e+00,5.005000000000000560e-01,1.515881468096967827e-03
35,6,6,4,1.000000000000000000e+00,1.000000000000000000e+00,6.670000000000000373e-01,4.246602061955575581e-03
36,6,6,6,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.079754776943481724e-04
