,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.396803370049875051e-02
1,1,1,0,5.004999999999999449e-01,5.004999999999999449e-01,1.000000000000000021e-03,2.121394552888540563e-02
2,1,1,1,5.004999999999999449e-01,5.004999999999999449e-01,5.004999999999999449e-01,2.568872296666723787e-01
3,2,1,1,1.000000000000000000e+00,5.004999999999999449e-01,5.004999999999999449e-01,1.354695982057168846e-01
4,2,2,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,3.678901091304476872e-02
5,2,2,2,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.276186559767622214e-02
