,i1,i2,i3,k1,k2,k3,weight
0,1,1,1,6.343749999999999389e-02,6.343749999999999389e-02,6.343749999999999389e-02,7.752197708752099712e-04
1,2,1,1,1.258749999999999869e-01,6.343749999999999389e-02,6.343749999999999389e-02,5.977989143686906516e-04
2,3,3,1,1.883124999999999938e-01,1.883124999999999938e-01,6.343749999999999389e-02,5.057136321018672852e-03
3,4,4,1,2.507499999999999729e-01,2.507499999999999729e-01,6.343749999999999389e-02,1.131260928359219611e-03
4,4,4,3,2.507499999999999729e-01,2.507499999999999729e-01,1.883124999999999938e-01,1.092472045923650230e-03
5,4,4,4,2.507499999999999729e-01,2.507499999999999729e-01,2.507499999999999729e-01,3.014117052444145999e-03
6,5,3,3,3.131875000000000075e-01,1.883124999999999938e-01,1.883124999999999938e-01,9.826076900679776849e-03
7,6,3,3,3.756249999999999867e-01,1.883124999999999938e-01,1.883124999999999938e-01,2.002651970729034305e-03
8,6,6,1,3.756249999999999867e-01,3.756249999999999867e-01,6.343749999999999389e-02,6.110329098218837858e-03
9,6,6,6,3.756249999999999867e-01,3.756249999999999867e-01,3.756249999999999867e-01,8.639249741549084177e-03
10,7,6,3,4.380625000000000213e-01,3.756249999999999867e-01,1.883124999999999938e-01,1.629093245827439862e-02
11,7,7,0,4.380625000000000213e-01,4.380625000000000213e-01,1.000000000000000021e-03,4.219028561624232248e-04
12,7,7,1,4.380625000000000213e-01,4.380625000000000213e-01,6.343749999999999389e-02,1.211176074052727931e-03
13,8,4,4,5.004999999999999449e-01,2.507499999999999729e-01,2.507499999999999729e-01,5.959636813706948102e-04
14,9,6,3,5.629374999999999796e-01,3.756249999999999867e-01,1.883124999999999938e-01,5.348741605158689391e-03
15,9,6,6,5.629374999999999796e-01,3.756249999999999867e-01,3.756249999999999867e-01,2.426335662242348756e-02
16,9,7,3,5.629374999999999796e-01,4.380625000000000213e-01,1.883124999999999938e-01,2.202204486653064341e-02
17,9,9,9,5.629374999999999796e-01,5.629374999999999796e-01,5.629374999999999796e-01,4.468203689387669798e-03
18,10,6,6,6.253750000000000142e-01,3.756249999999999867e-01,3.756249999999999867e-01,7.761761358664135552e-04
19,10,9,6,6.253750000000000142e-01,5.629374999999999796e-01,3.756249999999999867e-01,1.286234758688841254e-02
20,10,9,9,6.253750000000000142e-01,5.629374999999999796e-01,5.629374999999999796e-01,6.887323948227264819e-03
21,10,10,1,6.253750000000000142e-01,6.253750000000000142e-01,6.343749999999999389e-02,7.875962231903651037e-03
22,10,10,2,6.253750000000000142e-01,6.253750000000000142e-01,1.258749999999999869e-01,1.331800126217059762e-03
23,10,10,3,6.253750000000000142e-01,6.253750000000000142e-01,1.883124999999999938e-01,6.258654268616329480e-03
24,10,10,5,6.253750000000000142e-01,6.253750000000000142e-01,3.131875000000000075e-01,2.045675012670698442e-02
25,12,7,6,7.502499999999999725e-01,4.380625000000000213e-01,3.756249999999999867e-01,1.592573676220926729e-02
26,12,9,9,7.502499999999999725e-01,5.629374999999999796e-01,5.629374999999999796e-01,1.926427890448801500e-02
27,12,10,3,7.502499999999999725e-01,6.253750000000000142e-01,1.883124999999999938e-01,1.430400915253516800e-02
28,13,7,6,8.126875000000000071e-01,4.380625000000000213e-01,3.756249999999999867e-01,1.290367938410779368e-03
29,13,7,7,8.126875000000000071e-01,4.380625000000000213e-01,4.380625000000000213e-01,3.137821678806988757e-03
30,13,9,6,8.126875000000000071e-01,5.629374999999999796e-01,3.756249999999999867e-01,1.181075098461791635e-03
31,13,9,9,8.126875000000000071e-01,5.629374999999999796e-01,5.629374999999999796e-01,6.972192848690340547e-03
32,13,10,3,8.126875000000000071e-01,6.253750000000000142e-01,1.883124999999999938e-01,7.065231964074911858e-03
33,13,10,5,8.126875000000000071e-01,6.253750000000000142e-01,3.131875000000000075e-01,5.668231043489100479e-03
34,13,10,6,8.126875000000000071e-01,6.253750000000000142e-01,3.756249999999999867e-01,2.730060942580360070e-02
35,13,10,10,8.126875000000000071e-01,6.253750000000000142e-01,6.253750000000000142e-01,3.660112823199410635e-03
36,13,11,2,8.126875000000000071e-01,6.878125000000000488e-01,1.258749999999999869e-01,5.863461325626205620e-04
37,13,12,2,8.126875000000000071e-01,7.502499999999999725e-01,1.258749999999999869e-01,1.106391228418069804e-03
38,13,12,5,8.126875000000000071e-01,7.502499999999999725e-01,3.131875000000000075e-01,5.723507212407590722e-03
39,13,12,9,8.126875000000000071e-01,7.502499999999999725e-01,5.629374999999999796e-01,2.219996873007339111e-02
40,13,12,12,8.126875000000000071e-01,7.502499999999999725e-01,7.502499999999999725e-01,9.867797692160121953e-04
41,13,13,0,8.126875000000000071e-01,8.126875000000000071e-01,1.000000000000000021e-03,7.814648842481839493e-04
42,13,13,1,8.126875000000000071e-01,8.126875000000000071e-01,6.343749999999999389e-02,8.023536287869826667e-04
43,13,13,2,8.126875000000000071e-01,8.126875000000000071e-01,1.258749999999999869e-01,9.982155194657562139e-03
44,13,13,5,8.126875000000000071e-01,8.126875000000000071e-01,3.131875000000000075e-01,8.556840355288390307e-03
45,13,13,6,8.126875000000000071e-01,8.126875000000000071e-01,3.756249999999999867e-01,8.045297380754021926e-03
46,13,13,10,8.126875000000000071e-01,8.126875000000000071e-01,6.253750000000000142e-01,1.426834231104797280e-03
47,13,13,12,8.126875000000000071e-01,8.126875000000000071e-01,7.502499999999999725e-01,9.085724552925333874e-03
48,15,8,7,9.375624999999999654e-01,5.004999999999999449e-01,4.380625000000000213e-01,1.216194492975545237e-03
49,15,9,9,9.375624999999999654e-01,5.629374999999999796e-01,5.629374999999999796e-01,8.971536584779752840e-03
50,15,10,6,9.375624999999999654e-01,6.253750000000000142e-01,3.756249999999999867e-01,1.766341772567742163e-02
51,15,10,10,9.375624999999999654e-01,6.253750000000000142e-01,6.253750000000000142e-01,4.643677434337178771e-03
52,15,12,6,9.375624999999999654e-01,7.502499999999999725e-01,3.756249999999999867e-01,8.127576582878753148e-03
53,15,12,9,9.375624999999999654e-01,7.502499999999999725e-01,5.629374999999999796e-01,2.003752465318346058e-03
54,15,12,10,9.375624999999999654e-01,7.502499999999999725e-01,6.253750000000000142e-01,9.207909101492708567e-03
55,15,13,2,9.375624999999999654e-01,8.126875000000000071e-01,1.258749999999999869e-01,2.494350995198038774e-03
56,15,13,3,9.375624999999999654e-01,8.126875000000000071e-01,1.883124999999999938e-01,9.738025125053667921e-03
57,15,13,5,9.375624999999999654e-01,8.126875000000000071e-01,3.131875000000000075e-01,6.831509603006072524e-03
58,15,13,6,9.375624999999999654e-01,8.126875000000000071e-01,3.756249999999999867e-01,4.693510759447083042e-03
59,15,13,9,9.375624999999999654e-01,8.126875000000000071e-01,5.629374999999999796e-01,1.907415432914981446e-02
60,15,13,12,9.375624999999999654e-01,8.126875000000000071e-01,7.502499999999999725e-01,6.044317121794739664e-03
61,15,15,0,9.375624999999999654e-01,9.375624999999999654e-01,1.000000000000000021e-03,5.942242354556484356e-04
62,15,15,2,9.375624999999999654e-01,9.375624999999999654e-01,1.258749999999999869e-01,5.179659674152155627e-03
63,15,15,5,9.375624999999999654e-01,9.375624999999999654e-01,3.131875000000000075e-01,1.626510148983557977e-03
64,15,15,6,9.375624999999999654e-01,9.375624999999999654e-01,3.756249999999999867e-01,7.232313834503830384e-03
65,15,15,9,9.375624999999999654e-01,9.375624999999999654e-01,5.629374999999999796e-01,1.578563148211396773e-03
66,15,15,10,9.375624999999999654e-01,9.375624999999999654e-01,6.253750000000000142e-01,3.737863117407843987e-03
67,15,15,12,9.375624999999999654e-01,9.375624999999999654e-01,7.502499999999999725e-01,3.419163432838884329e-03
68,15,15,13,9.375624999999999654e-01,9.375624999999999654e-01,8.126875000000000071e-01,5.672884704989586239e-03
69,15,15,15,9.375624999999999654e-01,9.375624999999999654e-01,9.375624999999999654e-01,8.035738412335381503e-04
70,16,9,7,1.000000000000000000e+00,5.629374999999999796e-01,4.380625000000000213e-01,4.308361637840554706e-04
71,16,9,9,1.000000000000000000e+00,5.629374999999999796e-01,5.629374999999999796e-01,1.492311617707765218e-03
72,16,10,6,1.000000000000000000e+00,6.253750000000000142e-01,3.756249999999999867e-01,4.850689578336429787e-04
73,16,10,10,1.000000000000000000e+00,6.253750000000000142e-01,6.253750000000000142e-01,1.654428670548705859e-03
74,16,12,6,1.000000000000000000e+00,7.502499999999999725e-01,3.756249999999999867e-01,2.204920905094431231e-03
75,16,13,3,1.000000000000000000e+00,8.126875000000000071e-01,1.883124999999999938e-01,5.184031970148075342e-04
76,16,13,5,1.000000000000000000e+00,8.126875000000000071e-01,3.131875000000000075e-01,2.020085057345603549e-03
77,16,13,6,1.000000000000000000e+00,8.126875000000000071e-01,3.756249999999999867e-01,5.226035913342097451e-04
78,16,13,9,1.000000000000000000e+00,8.126875000000000071e-01,5.629374999999999796e-01,3.732208874835124361e-03
79,16,13,13,1.000000000000000000e+00,8.126875000000000071e-01,8.126875000000000071e-01,3.226950453365337156e-03
80,16,15,2,1.000000000000000000e+00,9.375624999999999654e-01,1.258749999999999869e-01,1.611659315356073598e-03
81,16,15,5,1.000000000000000000e+00,9.375624999999999654e-01,3.131875000000000075e-01,2.642463674185889684e-03
82,16,15,9,1.000000000000000000e+00,9.375624999999999654e-01,5.629374999999999796e-01,2.679177440973804815e-03
83,16,15,15,1.000000000000000000e+00,9.375624999999999654e-01,9.375624999999999654e-01,5.900143615504584420e-04
84,16,16,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,6.290229449458639298e-05
85,16,16,2,1.000000000000000000e+00,1.000000000000000000e+00,1.258749999999999869e-01,1.826400837365077176e-04
86,16,16,3,1.000000000000000000e+00,1.000000000000000000e+00,1.883124999999999938e-01,1.580359425763612217e-05
87,16,16,5,1.000000000000000000e+00,1.000000000000000000e+00,3.131875000000000075e-01,7.957495813138774064e-05
88,16,16,10,1.000000000000000000e+00,1.000000000000000000e+00,6.253750000000000142e-01,4.396708233239517909e-04
89,16,16,13,1.000000000000000000e+00,1.000000000000000000e+00,8.126875000000000071e-01,3.484283994801517224e-04
90,16,16,15,1.000000000000000000e+00,1.000000000000000000e+00,9.375624999999999654e-01,1.311820472182074039e-04
